,,,Beginning Resources 1/1/2000,State Allocation,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Attractions,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Capital Expenditures Funded by Fair,Total Operating Expenditures,Other Reduction in Resources,Net Effect,Ending Resources 12/31/2000,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Land,Buildings and Improvements,Equipment,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Taxes & Retirement Payable,Sales Tax Payable,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Resources Available for Operations,Resources Available for Projects,Resources (Other),Total Obligations & Resources
"10th DAA, Siskiyou Golden Fair",,,307116,135000,102592,62242,33245,119245,4055,4728,0,0,98411,15040,0,80253,22,32946,450187,171991,175525,14041,24956,10638,0,32912,21355,3394,0,0,97033,0,2762,6208,198,104220,665233,0,22546,329662,0.495558699,0,344060.52,43520.09,3724.12,0,2260702.45,531527.9,0,3183535.08,99.5,24824.5,0,0,7337.5,0,29382,61643.5,0,2792230,329661.5,0,0,3183535
"12th DAA, Redwood Empire Fair",,,348582,135000,0,88236,10111,93577,0,0,0,0,0,19850,0,303272,9412,21204,545662,191042,282688,23298,23401,4814,0,9326,35098,0,0,0,55155,2006,1133,19287,196,12896,660340,0,20322,368904,0.558657661,16495.47,368854.22,22626.28,195,2914317.57,0,4829.47,0,3327318.01,7138.76,8028.33,399.49,0,0,4830.06,17441.36,37838,16703.37,2919147.04,368903.89,-15274.59,0,3327317.71
"18th DAA, Eastern Sierra Tri-County Fair",,,199502,135000,0,94456,20850,75640,13263,4150,0,0,70656,45968,12144,178488,17853,16134,549602,182454,172373,13870,24125,12959,641,23468,28070,4150,0,0,105988,353,0,5566,264,0,574281,0,110321,309823,0.539497215,4022.55,323865.17,4867.4,40407.91,0,1530851.4,197284.03,0,2101298.46,0,0,0,0,2510,500,40407.5,43417.5,4022.5,1728135,309822.5,15900.79,0,2101298.29
"20th DAA, Gold Country Fair",,,-34463,135000,0,113210,24630,122569,2771,5103,0,0,20746,40820,0,293398,1633,3111,627991,226276,229081,33295,24027,10345,284,13727,24081,6065,0,0,119575,0,0,-20054,172,0,666874,0,96117,61654,0.092452247,8539.04,118120.91,3715.55,0,54369.96,2540824.43,28770.4,0,2754340.29,8835.24,13833.68,982.76,0,2676,270,29728.49,56326.17,12394.45,2623964.79,61654.49,0,0,2754339.9
"24-A DAA, Kings Fair",,,-45603,135000,0,129886,25980,94703,16504,0,0,0,6104,82357,90,143597,396,0,499617,163895,187926,40124,21061,18372,3580,9938,20461,0,0,0,139027,0,2346,-9079,367,0,598018,0,36599,-9004,-0.015056403,6652.3,13140.21,32144.64,0,45707,1258654.51,212159.41,0,1568458.07,0,39204,212.32,0,0,4500,4862.66,48778.98,7754.5,1516520.92,-9004,4407.75,0,1568458.15
"26th DAA, Amador County Fair",,,10298,135000,2244,129887,21310,86004,21940,19394,0,0,81053,17962,4039,65810,1400,44661,493460,191044,168119,40003,39368,7968,3328,24879,24326,18743,0,0,82950,0,1037,-1088,337,6336,607350,0,23354,33652,0.05540792,0,73504.85,13215.46,9444.2,9764.46,2266763.15,143231.66,0,2515923.78,438.5,13790.16,24.66,0,30558,809.5,16892.21,62513.03,0,2419759.27,33652,0,0,2515924.3
"29th DAA, Mother Lode Fair",,,30180,135000,0,157575,19450,26248,5535,0,0,0,0,18125,0,171926,1000,24143,424002,144546,183790,9903,32392,8738,0,9462,19471,0,0,0,80685,0,29757,5128,-38,4187,528021,0,30981,61161,0.11583062,7421.92,70493.56,10345.64,8269.33,4127,1819255.94,85436.42,0,2005349.81,0,4742,0,0,11699.5,6050,23136,45627.5,10903,1908819,61161,-21160.49,0,2005350.01
"30th DAA, Tehama District Fair",,,350269,135000,2600,85376,3838,82687,7719,5215,0,0,70260,33366,21060,213324,1164,24029,548038,191544,198525,28799,17455,9179,5102,26008,28157,1828,0,0,140167,0,1008,-1993,27,15759,661565,1518,22555,372824,0.563548555,0,379883.86,46153.45,3051.9,5000,1763236.91,118534.45,0,2315860.57,0,12881.01,125.87,0,6422,2346.87,46352.32,68128.07,0,1886771.36,372823.5,-11862.19,0,2315860.74
"35-A DAA, Mariposa County Fair",,,167969,135000,0,72969,8780,64868,17927,11752,0,0,24209,18412,0,134353,-1367,10551,362454,183078,150957,12621,25413,14205,0,20271,18831,28050,0,0,36592,4986,1164,527,16,4275,500986,0,-3532,164437,0.328226737,0,155183.16,8513.73,55444.76,5243.39,2799723.07,144845.56,0,3168953.67,0,46172.4,0,0,-713,2635.64,5897,53992.04,0,2949812.02,164436.5,713.33,0,3168953.89
"36th DAA, Dixon May Fair",,,171677,135000,0,166984,33665,134787,11838,0,0,0,176873,57500,0,139890,1142,49342,772021,196996,187086,44633,63471,18334,0,18482,26450,0,0,0,296752,38360,0,209,211,0,890984,0,16037,187714,0.210681673,0,223966.29,2933.74,6394.25,35601.5,2395343.79,211073.16,0,2875312.73,0,13139.38,0,0,6543,2405.49,23492.49,45580.36,0,2642018.45,187714.49,0,0,2875313.3
