,,,Beginning Resources 1/1/2000,State Allocation,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Attractions,Miscellaneous Fair,Miscellaneous Non-Fair,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Capital Expenditures Funded by Fair,Total Operating Expenditures,Other Reduction in Resources,Net Effect,Ending Resources 12/31/2000,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Land,Buildings and Improvements,Equipment,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Taxes & Retirement Payable,Drug Fees Payable,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Resources Available for Operations,Resources Available for Projects,Resources (Other),Total Obligations & Resources
"3rd DAA, Silver Dollar Fair",,,375938,114000,23756,198989,51588,171674,8876,1501,6016,0,3370,58047,0,450126,4503,0,954690,255602,388696,28512,46920,0,0,62839,49856,3100,1800,0,119679,0,6213,4842,-64,13552,981547,0,110899,486837,0.495989494,0,635435.54,47116.05,3338.3,15522.5,4809851.75,355656.19,0,5866920.33,0,142368.9,464.14,0,0,1500,54220.43,198553.47,500,5181030.44,486836.5,0,0,5866920.41
"4th DAA, Sonoma Marin Fair",,,766220,114000,72255,193508,45310,122601,40093,0,0,0,24948,76606,0,601339,1154,41356,1146915,272863,292407,78441,83764,22768,0,46655,57073,0,0,0,271467,3529,31379,2084,113,21136,1183679,0,149491,915711,0.773614299,0,955963.32,27324.22,1445,0,3103963.27,126169.32,0,4214865.13,0,8038.09,0,0,21512,11298.46,27502.13,68350.68,0,3230132.59,915710.5,671.5,0,4214865.27
"9th DAA, Redwood Acres Fair",,,126327,114000,0,63954,6610,37067,4378,4925,0,60735,106,30385,852,224296,585,10827,444720,125609,178461,23593,10548,2228,0,17020,16774,4781,0,73083,69729,249,4913,6692,96,10809,544585,0,14135,140462,0.257924842,5078.93,235512.68,23174.29,1259,57340.55,3131053.03,86387.6,0,3539806.08,3022.62,14400.31,5614.88,0,2392.9,3475,20204.23,49109.94,4227,3274781.18,140462.49,71225,0,3539805.61
"13th DAA, Yuba Sutter Fair",,,127303,114000,0,160683,20080,130447,11716,740,0,1995,52794,55502,44039,210627,1602,22989,713214,216086,227625,22729,69789,12949,73281,19174,25526,1851,0,1238,100321,0,5903,-2021,1260,3960,779671,0,47543,174846,0.224256129,30199,200007,18007,0,92728,2096820,54670,0,2492431,0,2115.5,1356.5,0,12127.5,1586,31573,48758.5,24608.5,2244218.5,174845.5,0,0,2492431
"14th DAA, Santa Cruz County Fair",,,430786,114000,0,261092,27300,202748,14259,12469,0,0,0,86017,0,370549,8427,69606,1052467,223887,323770,62596,66214,63553,0,20079,64222,13219,0,0,95109.51,0,19687.51,23039.51,-243,80208.51,1055342.04,0,111124.96,541910.96,0.513493199,10623.84,585753.34,550,0,8500,2365919.29,126081.14,0,3097427.61,11642.15,0,0,0,6671.89,12816.3,12312,43442.34,10623.84,2500500.43,541911,950,0,3097427.61
"17th DAA, Nevada County Fair",,,538246,114000,12354,262150,16505,386489,16876,10144,78932,0,34203,93894,0,439960,387,58315,1397855,333919,392267,43197,99348,54869,0,47849,69763,12487,21350,0,104589,130953,27273,6574,0,63428,1407866,0,116343,654589,0.46495121,35733.18,726647.77,30702.55,8979.28,598265.73,2980453.91,79264.25,0,4460046.67,0,29980.78,2679.86,0,41875.84,0,61513.13,136049.61,44725,3621538.05,654588.56,3145.97,0,4460047.19
"21-A DAA, Madera District Fair",,,134893,114000,0,184418,26900,142397,6864,0,0,0,44825,26337,0,351759,636,0,784136,228733,287291,49399,38358,7626,0,17722,28953,0,0,0,135931,0,3229,5867,527,8590,812226,0,85910,220803,0.271849214,11593.59,270142.98,34394.6,19068.01,45297.04,2325145.52,130056.3,0,2835698.04,410,36094.36,58.47,0,26595.11,13708.92,31053.28,107920.14,6474.18,2500499,220803.4,0.4,0.4,2835697.52
"23rd DAA, Contra Costa County Fair",,,143186,114000,0,163891,45770,127108,11252,0,0,0,15289,27120,67176,433779,21839,1726,914950,287167,344462,74077,60426,5075,20405,28783,30673,0,0,0,90279,7082,9860,-5395,1224,4233,958351,0,70599,213785,0.223075888,18783.1,259278.87,26359.17,0,92950.36,2231681.32,210130,0,2839182.82,14135.27,6755.66,341.31,0,8343.34,7667,55625.11,92867.69,1140.06,2521872.91,213785.49,9516.62,0,2839182.77
"25th DAA, Napa Town & Country Fair",,,218400,114000,0,249373,76902,185732,3719,0,0,0,32039,64178,0,517553,7501,29625,1166622,344189,489376,53983,82300,11711,0,24589,55283,0,0,0,134966,4828,0,620,2356,4800,1209001,0,71621,290021,0.239884831,0,347247.52,128954.39,200,154225.94,3301846.5,1036211.44,0,4968685.79,100,17583.07,-770.9,0,3138,10500,33836.92,64387.09,23197.51,4492283.88,290020.9,0.68,98795.73,4968685.79
"27th DAA, Shasta District Fair",,,359513,114000,0,177970,54522,199636,19271,6491,0,132170,11065,55334,8382,157780,280,52799,875700,222592,256417,32033,72900,13563,4059,50247,37282,2554,0,123602,112218,10912,11229,-807,-61,35434,984174,0,5526,365039,0.370909006,20035,413002,2376,6219.5,111972.5,2960795,108493,0,3622893,0,1357,0.4,0.4,3278.49,8527.49,36866.49,50030.27,15160,3181260,365039.4,-4298,15701,3622892.67
