Fair Name,Beginning Resources 1/1/2002,State Allocation,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Capital Expenditures Funded by Fair,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Net Effect,Ending Resources 12/31/2002,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Land,Buildings and Improvements,Equipment,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Long Term Debt,Compensated Absences Liability,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Resources Available for Operations,Resources Available for Projects,Resources (Other),Total Obligations & Resources
"10-A DAA, Tulelake-Butte Valley Fair",150075,180000,0,0,20940,68047,11916,1555,17837,0,20960,0,98400,-176,5050,244529,119597,115957,10167,9592,5178,12205,27511,23270,2220,0,0,37114,0,4399,7205,0,0,374415,0,50114,200189,0.534671421,0,227985.04,51021.47,0,17250,1878967.95,322067.95,0,2497292.41,0,11722.3,-88.64,45000,185.95,575,0,20109.27,77503.88,0,2219598.49,200189.49,0,0,2497291.86
"33rd DAA, San Benito County Fair",88200,180000,6000,57048,16560,39227,13582,17111,0,0,36270,3542,135060,13868,6970,339238,183140,187937,22093,16365,9248,0,24303,28134,19497,0,0,36200,0,0,36177,-52,0,563042,34894,-2910,85290,0.151480707,0,149873.32,19133.66,953.98,61441.95,2124530.72,184692.02,0,2540625.65,0,8003.12,5197.47,1440,3,11589.68,0,16774.11,43007.38,26514.26,2370664.69,85290.12,15149.2,0,2540625.65
"34th DAA, Modoc-Last Frontier Fair",45978.5,179999.5,0,12095.5,2755.5,9167.5,5801.5,17570,16323,0,5050,0,14497,0,4140,87400,83880,94626,12096,7723,6705,0,15706,10352,17852,0,0,39280,0,0,-906,0,0,287314,0,-19914.5,26064,0.090716081,0,115865.38,934.32,0,600,1153525.76,101660.29,0,1372585.75,0,210,0,51387,0,175,0,38963.76,90735.76,0,1255786.05,26063.94,0,0,1372585.75
"41st DAA, Del Norte County Fair",36996.49,180000.49,0,65523,0,67960,3016,240,4158,27762,14927,1025,90648,1066,4045,280370,164493,151054,14069,9756,5093,1718,9374,17426,755,140,0,87047,370,4524,-451,175,0,465543,0,-5172.51,31823.98,0.068358841,0,56028.27,299257.77,4976.23,20352.53,1807717.97,95564.09,0,2283896.86,786,59855.44,0,8244.38,9298.92,130,2760.37,15081.89,96157,6548.6,1914537.45,31823.81,0,234830,2283896.86
"44th DAA, Colusa County Fair",80111,180000,0,77097,12807,73418,2104,0,26954,130793,44631,13240,56505,0,10784,448333,198361,225275,20874,22050,7039,9264,10051,23568,0,0,0,59109,62478,0,1851,-316,0,639604,0,-11271,68840,0.107629096,0,288458,34393,9905.5,3297.5,985859,105898,0,1427811,0,11243,1047,161803,0,46420,0,38141,258654,5262,1095055,68840,0,0,1427811
"51st DAA, San Fernando Valley Fair",-286933,180000,0,61501,24675,35945,4333,0,0,0,25898,0,31,-1922,74041,224502,89725.49,3290.49,44821,50074,34965,0,3805,46343,0,0,0,119926,0,0,-76846,-222,0,315881.98,0,88620.02,-198312.98,-0.627807196,3000000,-100886.67,836.4,0,0,0,35200.04,0,2935149.77,0,75050.34,0,45000,1082.5,0,0,0,121132.84,7703,35200.04,-198313,-30573.31,3000000,2935149.57
"52nd DAA, Sacramento County Fair",341922.49,180000.49,0,0,51831,106485,10443,0,4750,0,25582,0,3651,0,15942,218684,192670,26328,41803,0,10612,0,15659,50012,0,0,0,42126,0,0,1223,0,0,380433,0,18251.49,360173.98,0.946747469,0,511153.25,6031.3,0,0,20570,0,0,537754.55,0,16529.04,922.44,45925,0,0,0,0,63376.48,45599.01,20570,360174,48035.06,0,537754.55
"54th DAA, Colorado River Country Fair",-90356.49,179999.5,0,57053,0,56429,2508,0,3514,0,29542,6491,102138,2100,3382,263157,175210,145357,4542,18200,7397,7310,6647,8408,12,0,0,42329,3921,0,-6288,76,5078,418199,0,24957.5,-65398.99,-0.156382464,0,89086.35,4427.16,-40135.22,61307.5,1771203.12,181537.69,0,2067426.6,883,2718.68,14338.39,31194.56,25995.68,22398.3,2321.66,18926.58,118776.85,0,2014048.31,-65398.56,0,0,2067426.6
Cloverdale Citrus Fair,89172.5,180000,12399.5,38057,7709,23118,3231,0,35,140840,31680,24739,120066,622,7455,397552,118276,92566,10834,7254,4833,9676,11857,5723,0,0,0,30806,106626,11547,4039,61,4239,418337,0,171614.5,260787,0.623389755,0,378726.2,4262,35514.38,27233.35,749234.72,106677.54,0,1301648.19,-35,9328.69,1707.34,134770,0,6607.5,0,3667.85,156046.38,0,883145.61,260787.07,1669.13,0,1301648.19
Chowchilla- Madera County Fair,-27969,179999.5,49999.5,52117,9200,39458,17853,0,8365,69652,15725,17265,58281,1916,12258,302090,165561,169182,6566,17303,2000,14458,20335,18028,0,0,0,57987,18,0,9759,-156,16266,497307,0,34782,6813,0.013699787,0,21675.4,15651.94,18000,90380.19,3175257.85,94765.28,0,3415730.66,0,11816.29,3746.57,1584.89,22207.11,0,72423.37,2382.89,114161.12,5083.68,3289673.58,6812.28,0,0,3415730.66
Mendocino County Fair,106773,180000,4639,58233,8625,45718,4855,1783,2748,0,30934,2385,34301,0,0,189582,127840,125816,6003,9201,12354,960,30721,17794,200,0,0,22877,0,2992,0,0,0,356758,0,17463,124236,0.348236059,0,207170.06,0,0,21634.74,1994216.11,69550.76,0,2292571.67,0,0,0,0,0,750,0,19343.92,20093.92,0,2085401.61,169236.47,17839.67,0,2292571.67
Inter-Mountain Fair of Shasta County,22862,180000,24000,46398,8674,57033,4547,1192,52587,0,17784,0,97588,0,0,285803,180066,163279,13716,10826,5823,0,29482,24743,186,0,0,59969,0,0,0,0,24135,512225,0,-22422,440,0.000858998,0,-3679.55,5043.05,0,999.32,2672099.5,211889.34,0,2886351.66,0,0,0,0,0,0,0,0,0,10257,2884988.16,440,-9333,0,2886352.16
Trinity County Fair,37476,180000,25000,17227,7796,23983,8791,1766,31445,1657,5658,0,53227,0,0,151550,111909,132386,6804,4023,3023,0,7542,18105,3840,0,0,27947,1250,0,255,0,0,317084,-775,38691,76167,0.240210796,0,81810.69,11678.54,1053.47,0,0,40131.25,0,134673.95,0,-616.96,0,0,0,-553.89,0,6902.8,5731.95,7962.25,40131.25,76167.45,4681.05,0,134673.95
