Fair Name,Beginning Resources 1/1/2003,State Allocation,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Depreciation Expense,Capital Expenditures Funded by Fair,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Net Effect,Ending Resources 12/31/2003,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Land,Buildings and Improvements,Equipment,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Long Term Debt,Compensated Absences Liability,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Resources Available for Operations,Resources Available for Projects,Resources (Other),Total Obligations & Resources
"10-A DAA, Tulelake-Butte Valley Fair",200192,180000,0,0,24104.5,67565.5,9550,1245,10770,0,22684,16108,80146,304,2757,235234,131535,135533,14319,8962,6183,24265,24950,27724,1587,0,0,29937,0,0,5660,-149,0,15282,425788,0,-10554,189638,0.44538127,0,190737.61,30263.19,0,51428.28,1919092.72,322067.95,0,2513589.75,0,4628.5,42.34,225.66,0,750,0,24405.71,30052.21,0,2293900.34,189637.5,0,0,2513590.05
"33rd DAA, San Benito County Fair",85290,180000,6000,55476.5,17200,41752.5,13450,16038.5,0,0,33390,2806.5,141353,942,5327,327736,202328,201635,25429,19893,6093,0,18596.49,22787.49,17099,0,0,42100,0,1272,3122,17,0,2534,562905.98,0,-49169.98,36120.02,0.064167057,0,106008.42,22666.87,0,61441.95,1998204.97,39468.54,0,2227790.75,0,4938.15,6848.07,780,0,10788.68,0,24461.61,47816.51,29795.3,2099115.46,36120.57,14942.91,,2227790.75
"34th DAA, Modoc-Last Frontier Fair",26065,180000,0,22079,2880,10871,7589,18095,21579,0,8596,0,23683,0,2901,118273,82613,91424,9657,6146,7954,0,16404,8060,21200,0,0,42253.5,0,0,180.5,0,0,0,285892,0,12381,38446,0.134477355,0,102977.56,11453.93,0,600,1205391.85,101660.29,0,1422083.63,0,118,0,2514.83,0,300,0,43698.4,46631.23,0,1307652.14,38445.5,29355.12,0,1422083.99
"41st DAA, Del Norte County Fair",31824,180000,4400,63582,11054,58924,4178,1456,33063,0,16865,1332,105868,55723,6516,358561,175694.49,160092.49,4159.49,8564.49,5467,3676,9582,16919,1870,1054,0,95000,0,4500,7082,51,0,40630,534341.96,0,8619.04,40443.04,0.075687562,29151.48,260845.55,53253.92,0,30352.53,2055732.84,159163.92,0,2588500.24,1983,27990.68,1263.2,11590.54,2631.92,1191.59,6896.03,14513.56,68060.52,6813.04,2238353.26,40443.42,0,234830,2588500.24
"44th DAA, Colusa County Fair",68840,180000,0,87859,11625,80930,2645.5,50,35396.5,134672.5,35330,13848,69686,-3210,8724,477556.5,193474,270385,21258,22731.49,1749.49,9536,9092,16310,0,0,0,75225,81479,0,5352.49,-103,0,0,706489.47,0,-48932.97,19907.03,0.028177391,0,183956,13445,24515,3298,2037725,38700,0,2301639,520,16029.49,815.49,93391,0,50578,0,38966,200299.98,1709,2079723,19907,0,0,2301638.98
"51st DAA, San Fernando Valley Fair",-198313,180000,50437,34250,24100,30332,2971,0,0,0,2575,0,0,247,49618,144093,159614,4884.5,44496.5,62164.5,23416.5,0,2746,27814,0,0,0,45501,0,0,-630,-5,7040,0,377042,0,-2512,-200825,-0.532632969,3000000,-128372,11723,3699,0,0,35200,-19852,2902398,0,71378,0,0,439,0,0,0,71817,9019,22387.86,-200825.42,0,3000000,2902398.44
"52nd DAA, Sacramento County Fair",360174,180000,0,0,64518,103787.49,11992.49,0,2664,0,49429,0,439,0,4277,237106.98,213390,28557,52033,0,5744,0,13607,66792,0,0,0,53515.5,0,0,2942.5,0,0,0,436581,0,-19474.02,340699.98,0.78038206,0,445802.93,1610,3206.6,0,76730.63,0,-25484.06,501866.1,0,12034.74,1757.8,50227.59,0,0,0,0,64020.13,45900,51246.57,340699.5,0,0,501866.2
"54th DAA, Colorado River Country Fair",-65399,180000,0,51345,0,63816,3741,0,5939,10312,31195,0,87409,0,1902,255659,158310,152337,4546,14220,11783,5032,7073,9221,508,0,0,38320,3040,0,-1363,94,0,13222,416343,0,19316,-46083,-0.11068518,0,65635.78,2924,4864.78,59944,1730429,266575.59,0,2130373.15,204,4687.99,5730.39,46797.56,0,22480.3,114104.42,13327.69,207332.35,0,1969122.66,-46082.5,0,0,2130372.51
Cloverdale Citrus Fair,260787,180000,0,39460,7910,24177,5021,0,0,160766,39384,18736,110866,2883,14603,423806,119542.5,98940.5,17196.5,8174.5,4905,7131,10272,7330,0,0,0,37730,153168,793,-17554,6,0,5000,452635,0,151171,411958,0.910132889,0,518726.02,3948.12,28559.36,27233.35,780790.96,113313.24,0,1472571.05,69,6153.4,148.2,122188,0,7000,0,3716.73,139275.33,0,921337.55,411958.17,0,0,1472571.05
Chowchilla- Madera County Fair,6813,180000,26011,54793,10925,41464,16636,0,8958,70511,14447,18583,69783,0,3815,309915,167108,171981,10114,18722,2000,17201,18282,18746,0,0,0,58688,0,0,1915,-45,0,19150,503862,0,12064,18877,0.037464623,0,26650.24,11683.86,12000,90380.19,3271030.22,89744.13,0,3501488.64,0,7363.72,6181,100,7782.32,0,69840.06,3707.47,94974.57,4653.44,3382984.65,18876.5,0,0,3501489.16
