Fair Name,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,State Allocation,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Depreciation Expense,Other Miscellaneous Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Net Effect,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Long Term Debt,Compensated Absences Liability,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Total Unrestricted Net Resources,Total Restricted Net Resources,Total Obligations & Resources
"10-A DAA, Tulelake-Butte Valley Fair",1084639,0,189638,1274277,180000,97220,0,23776,71296,10138,662,14440,0,0,18842,19846,86288,11170,4656,261114,147425,134064,14300,11659,6060,17710,24819,20044,1911,0,26616,0,0,0,222,99,58477,30000,493406,-195954,-151026,906528,0,216723,1123251,0.498295124,0,246381.08,42250.76,0,0,52888.28,1873529.49,189373.07,-1209261,1195161.68,0,348.18,58.1,45300.66,223.2,1575,0,24405.71,71910.85,0,906527.91,216722.92,0,1195161.68
"33rd DAA, San Benito County Fair",698038,0,36120,734158,180000,102465,51043,17725,41132,15578,15973,0,0,0,32963,1916,143707,-421,2216,321832,192739,194644,26150,19134,5550,0,20855,21915,15576,0,38454,0,0,0,-1393,-217,34645,27785,595837,0,8460,719037,0,23580,742617,0.042017705,0,130050.87,30090.69,0,2633.75,61441.95,2051214.79,39468.54,-1435722.95,879177.64,0,7560.96,6959.29,47775,0,12567.68,0,26433.78,101296.71,35230.52,719036.08,23614.33,0,879177.64
"34th DAA, Modoc-Last Frontier Fair",1307549,0,38445,1345994,180000,80804,19496,2720,10947,8224,19507,20231,0,0,8772,0,18748,9374,4441,122460,89667,96536,11765,6513,5095,0,14196,9863,22464,0,41674,0,0,0,10219,-4,17225,21945,347158,0,36106,1349183,0,32917,1382100,0.099768741,0,203837.1,1747.27,0,0,600,1265434.97,100373.29,-17225.35,1554767.28,0,0,33.34,134259.28,0,400,0,37974.69,172667.31,0,1349182.91,32917.06,0,1554767.28
"41st DAA, Del Norte County Fair",852610,234830,40443,1127883,180000,64090,69667,2050,64851,4407,3508,33340,0,0,20308,0,132429,0,6883,337443,188530,167487,2469,11408,4707,2876,10719,15621,1446,1374,107064,85,0,787,-3322,379,43544,0,555174,0,26359,972573,186119,-4449,1154243,-0.008695737,0,86128.63,218878.52,0,66876,30352.53,2110456.83,162836.64,-1393691.93,1281837.22,-11826.92,44407.02,-409.71,56889.19,1405.48,2875,4256.96,22565.27,120162.29,7431.93,972573.11,-4449.41,186119,1281836.92
"44th DAA, Colusa County Fair",19907,0,489889,509796,180000,96241,91104,17300,78898,2416,0,38578,136272,0,57163,15270,78776,0,2100,517877,184978,264946,25578,35291,3883,12341,7798,12369,0,0,98304,89867,0,1650,24262,-253,43468,61778,866260,0,-72142,482719,0,-45066,437653,-0.054772044,0,172118.91,805.7,489.5,0,3298.23,1957360.38,122802.25,-1577773.43,679101.54,195,12201.61,3308.52,134005.57,0,50724.81,22619.88,21772.45,244827.84,-3379.13,482718.68,-45065.85,0,679101.54
"51st DAA, San Fernando Valley Fair",22388,3000000,-200825,2821563,180000,0,58506,25667,37151,1984,0,0,0,0,12121,0,0,0,46629,182058,114200,53905,50488,19690,6379,0,2452,48105,0,0,43195,0,0,0,0,54,6453,0,344921,0,17137,8894,3000000,-170194,2838700,-0.502836309,3000000,-71743,20167,573,0,0,0,35200,-26306,2957891,0,2361,816,102000,439,0,0,0,105616,13576,8894,-170195,3000000,2957891
"52nd DAA, Sacramento County Fair",340700,0,51247,391947,180000,16376,0,73265,105553,12745,0,4511,0,0,47383,4500,573,0,4283,252813,213801,26927,52326,0,12947,0,17536,61897,0,0,36519,0,0,0,729,0,5616,16376,444674,0,4515,45631,0,350830,396461,0.799051606,0,474211.03,17182.99,3138,0,0,76731,0,-31100,540163.02,0,17942.45,3619,71170,0,0,0,0,92731.45,50970,45630.94,350830.63,0,540163.02
"54th DAA, Colorado River Country Fair",899241,0,-46086,853155,180000,40439,53026,0,69019,3034,0,0,0,0,39288,5098,97273,0,0,266738,180579,164306,6149,16907,7130,7120,7644,12561,238,0,34089,654,0,291,4106,-184,74670,10439,526699,0,-39522,867724,0,-54090,813634,-0.119660464,0,156751.87,35241.7,4540,0,71241,2023819,52194,-1204860.5,1138927.07,432,26339.59,7707.18,138362.48,0,25199.5,101987.5,25264.83,325293.08,0,867724,-54090,0,1138927.08
Cloverdale Citrus Fair,934338,0,411958,1346296,180000,17900,32521,11130,24924,4015,0,0,185308,0,37137,18824,135087,206,14283,463435,129910,130866,22452,8010,5287,5546,12642,5881,0,0,40050,162126,0,14303,1777,54,663742,0,1202646,0,-541311,270596,0,534389,804985,0.991621884,0,701152.14,12825.05,49102.38,0,27233.35,793790.96,113313.24,-663741.93,1033675.19,89,1535.17,2389.13,208320.95,0,9050,0,7306.28,228690.53,0,270595.66,534389,0,1033675.19
Chowchilla- Madera County Fair,1085107,0,18877,1103984,180000,34091,59726,15633,41168,17282,0,9062,,94508,21301,202,80202,0,7693,346777,198749,184559,10499,19331,2000,17,18872,17425,0,0,64900,0,586,0,0,-143,39700,34091,590586,0,-29718,1048555,0,25712,1074267,0.046673903,0,91940.59,21571.53,9000,0,90380.19,3273430.22,89744.13,-2337577.83,1238488.83,0,11123.51,7187.33,67909.16,6976.31,0,68314.43,4628.79,166139.53,-1916.78,1048555,25711.08,0,1238488.83
