Fair Name,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,State Allocation,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Depreciation Expense,Other Miscellaneous Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Net Effect,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Long Term Debt,Compensated Absences Liability,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Total Unrestricted Net Resources,Total Restricted Net Resources,Resources (Other),Total Obligations & Resources
"10-A DAA, Tulelake-Butte Valley Fair",906528,0,216723,1123251,180000,192284,0,23790,76996,5923,997,52086,0,0,19348,8964,84936,-1594,7228,278674,155880,141477,16647,12233,6486,12882,18965,21045,1748,0,0,62027,0,0,1440,56947,11,56043,47190,611021,-831,39106,889206,0,273151,1162357,0.492183474,0,294385.7,15637.35,0,0,52888.28,1968237.49,189373.07,0,-1321291,1199230.89,0,1660.41,0,328.93,0,1725,0,33159.39,36873.73,0,889206,273151.2,0,0,1199230.93
"33rd DAA,      San Benito County Fair",719037,0,23580,742617,180000,179356,52799,18200,42948,15503,15348,0,0,0,34071,1844,134226,-1459,15960,329440,206346,180180,23754,18779,6845,0,19539,23851,16573,0,0,39841,0,0,0,430,-49,39594,24401,600084,1181,89893,834396,0,-1886,832510,-0.003364913,0,67935.77,25958.09,0,0,61441.95,2200989.06,47282.95,0,-1475316.68,928291.14,0,4903.49,7779.2,3960,5,11974.68,0,30469.81,59092.18,36688.34,834396,-1885.98,0,0,928290.54
"34th DAA, Modoc-Last Frontier Fair",1349183,0,32917,1382100,180000,295377,20366,2850,11827,8534,22538,26289,0,0,6722,0,45945,0,5259,150330,90341,103717,11686,7046,3689,0,14054,7229,23343,0,0,38406,0,0,0,0,2,26473,17936,343922,0,281785,1600151,0,63735,1663886,0.200772408,0,160491.14,2799.79,0,0,600,1542875.97,100373.29,0,-43698.72,1763441.47,0,0,302.46,59649.16,0,700,0,38904.04,99555.66,0,1600150.54,63735.25,,,1763441.45
"41st DAA, Del Norte County Fair",972573,186119,-4449,1154243,180000,279330.86,77005,13057,65458,4688,1298,32069,1254,0,34312,0,123089,11051,17350,380631,208961,173527,16342,14185,8575,3865,10185,21851,2093,1153,0,105635,0,0,0,7705,-67,63567,45711,683288,0,156673.86,1126337,177094.01,7487,1310918.01,0.012081243,0,44722.84,217392.38,2008.25,147400.09,30352.53,2244693.69,162836.64,0,-1457258.85,1392147.57,405,34777.42,2313.47,7785.02,1127.3,3135,1686.87,15271.33,66501.41,14728.29,1126337.23,7486.63,177094.01,0,1392147.57
"44th DAA, Colusa County Fair",482719,0,-45066,437653,180000,81914.17,88309,19160,79431,3092,0,31895,136487,0,46725,16401,74848,12607,29945,538900,170911,270717,21889,24540,5050,8624,9082,18918,0,0,0,64541,55691,0,2200,20976,87,46805,30000,750031,0,50783.17,489976,0,-1541,488435,-0.00219133,0,210334.99,80221.87,0,21649,3298.23,1986467.75,122802.25,0,-1624578.35,800195.74,0,18033.87,877.47,195653.51,0,46275,19663.55,31273.23,311776.63,-15.88,489976.13,-1541.14,0,0,800195.74
"51st DAA,    San Fernando Valley Fair",8894,3000000,-170194,2838700,180000,185792,76216,41334,46106,1585,0,0,0,0,19634,0,0,0,87337,272212,130064,84903,65305,38118,3744,3810,1778,61302,0,0,0,67187,0,0,0,-891,211,20304,11443,487278,0,150726,74163,3000000,-84736,2989427,-0.18145764,3000000,-34546.22,34259.1,6573.29,0,0,0,35200.04,85573,-46609.77,3080449.44,0,11845.68,64.52,67000,438.5,0,0,0,79348.7,11673.82,74162.86,-84735.94,3000000,0,3080449.44
"52nd DAA, Sacramento County Fair",45631,0,350830,396461,180000,18113,0,67088,90892,9235,6480,6029,0,0,51524,0,508,581,8155,240492,208902,37665,54545,0,8731,0,17726,75666,4524,0,0,46614,0,0,0,310,0,5616,18113,478412,0,-39807,40015,0,316640,356655,0.669718018,0,421065.41,1760.43,3065,0,0,76730.63,0,0,-36716.18,465905.29,0,10115.79,2634.66,40079.29,0,0,0,0,52829.74,56421.47,40014.51,316639.57,0,0,465905.29
"54th DAA, Colorado River Country Fair",867724,0,-54090,813634,180000,30000,56732,0,65647,3003,0,0,0,0,42401,10831,99735,0,322,278671,201588,196631,3257,7514,11279,2491,6384,5783,0,0,0,28723,0,0,0,-801,1,74670,30000,567520,0,-78849,803903,0,-69117,734786,-0.140239424,0,102039.26,7313.68,0,0,71241,2023819,52194,0,-1279530.52,977076.42,1170,6351.5,5217.76,90455.05,0,26168.3,88386.25,24542.64,242291.5,0,803902.23,-69117.31,0,0,977076.42
Cloverdale Citrus Fair,270596,0,534389,804985,180000,172511,32009,9326,21560,7376,0,0,0,0,30227,264412,125693,0,25774,516377,128939,116085,24805,8426,7573,0,14549,6904,0,0,0,39849,199201,0,3264,6563,26,30655,7476,594315,0,274573,402018,0,677538,1079556,1.202033141,0,819375.66,7393.9,72179.69,0,27233.35,939438.72,129742.8,0,-694397.11,1300967.01,84,6058.69,1879.44,196850.5,0,8800,0,7738.63,221411.26,0,402017.76,677537.99,0,0,1300967.01
Chowchilla- Madera County Fair,1048555,0,25712,1074267,180000,89702,72351,15725,39618,18370,0,475,0,82748,32594,28806,88931,0,7668,387286,225139,205350,21232,15390,6012,475,18013,20117,0,0,0,70030,0,0,0,6000,-272,40925,64746,693157,0,-36169,1044395,0,-6297,1038098,-0.00965454,0,60296.46,5069.78,0,0,90380.19,3310195.53,89744.13,0,-2378503.3,1177182.79,0,3357.05,7100.12,27561.12,102762.88,0,0,6622.76,147403.93,-8319.84,1044395,-6296.3,0,0,1177182.79
