Fair Name,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,State Allocation,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Miscellaneous Operating Expense,,Other Addition/(Reduction) in Resources,,Net Effect,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Total Unrestricted Net Resources,Total Restricted Net Resources,
"10-A DAA, Tulelake-Butte Valley Fair",889206,0,273151,1162357,180000,95000,0,21220,90079,5889,1360,38067,0,0,27649,15385,119742,3930,12436,335757,185218,153861,11381,12431,2144,7380,18804,21902,1432,0,0,55808,0,0,0,25735,0,45000,541096,,-59841,9820,863056,0,309121,1172177,0.571286796,0,329186.31,13197.3,0,0,52888.28,1923689.41,195713.71,0,-1309235.65,1205439.36,0,12992.56,-0.19,47.5,0,625,19597.59,0,33262.46,0,863056.75,309120.15,0,1205439.36
"33rd DAA,      San Benito County Fair",834396,0,-1886,832510,180000,46780,48702,18275,50966,18192,14930,0,0,0,36242,1425,141194,2981,17859,350766,210614,196407,23759,17625,10639,0,21939,22831,20075,0,0,37519,0,0,0,337,-6,46780,608519,,-39594,-70567,794802,0,-32862,761940,-0.054003244,0,104133.93,28392.94,0,0,61441.95,2200989.06,47282.95,0,-1514910.41,927330.42,0,10689.22,8442.81,46665,0,14149.68,36832.59,0,116779.3,48611.17,794802,-32862.43,0,927330.04
"34th DAA, Modoc-Last Frontier Fair",1600151,0,63735,1663886,180000,21697,19841,2880,11389,6713,25687,27940,0,0,2486,0,22301,0,7389,126626,92262,107800,11429,5732,3525,0,12581,9084,26398,0,0,36304,0,0,0,1255506,41,21697,1582359,,-22680,-1276716,321964,0,65207,387171,0.041208727,0,154788.74,-76.96,0,0,600,1542875.97,100373.29,0,-1321884.36,476676.68,0,400,141.98,46912.24,0,800,41251.51,0,89505.73,0,321964.36,65206.59,0,476676.68
"41st DAA, Del Norte County Fair",1126337.23,177094.01,7486.63,1310917.87,180000,131121.78,84788,12340,66578,4746,1787,30226,875,0,34833,3390,126578,875,14198,381214,212469,180953,12460,14463,3949,8020,10696,23616,814,0,0,82605,925,0,0,-4407,-405,95363,641521,,-57028,-6213.22,1118331,177094.01,9280,1304705.01,0.014465622,0,38826.95,191396.57,1568.63,23772,30352.53,2403951.72,174568.51,0,-1514313.11,1350123.8,-9390,8580.78,-101.57,7528.65,1127.3,5640,13409,-0.95,26793.21,18625.26,1118330.96,9280.45,177094.01,1350123.89
"44th DAA, Colusa County Fair",489976,0,-1541,488435,180000,156375.51,84344,14950,83848,3952,0,40244,152570,0,59950,18366,101552,-1257,11534,570053,187804,283322,28856,21756,8689,11159,10335,29344,0,0,0,78039,59857,0,0,-365076,0,46004,400089,,-60968,445371.51,930834,0,2974,933808,0.007433346,0,224884.23,4329.01,3357,0,3298.23,2192407.41,122802.25,0,-1374488.48,1176589.65,182.9,21948.13,-64.49,116460.32,0,55845,31529.88,13186.58,239088.32,3693.33,930834.31,2973.59,0,1176589.55
"51st DAA,    San Fernando Valley Fair",74163,3000000,-84736,2989427,180000,30000,54827,31280,37534,1169,0,0,0,0,18213,0,0,84,136595,279702,143838,114661,70512,37342,6913,0,2285,59494,0,0,0,83138,0,0,0,-18197,1,0,499987,,-2852,-13137,71311,3000000,-95021,2976290,-0.190046941,3000000,-41963.41,44857,0,0,0,0,35200,85573,-49463,3074203.59,0,19418,593,68875,6124,0,0,0,95010,2904,71310.57,-95020.88,3000000,3074203.69
"52nd DAA, Sacramento County Fair",40014,0,316640,356654,180000,56431,0,79109,137454,12898,1988,6302,0,0,38849,0,396,0,11394,288390,249190,52643,58022,0,7019,0,22769,93821,707,0,0,63831,0,0,0,50,0,56431,604483,,-5616,-85278,34398,0,236976,271374,0.392030876,0,360803.67,15160.81,291.6,0,0,76730.63,0,0,-42332.24,410654.47,0,28420.52,7218.7,51934.44,0,0,0,0,87573.66,51705.79,34398.39,236976.63,0,410654.47
"54th DAA, Colorado River Country Fair",803903,0,-69117,734786,180000,45251,51792,0,73597,5320,0,0,0,0,45578,5722,102360,0,25789,310158,213821,206275,4800,7344,8395,4026,7637,9726,0,0,0,24240,0,0,0,-4240,180,11684,493888,-33568,-69627,-61674,772330,0,-99219,673111,-0.188108582,0,94835.48,17335.6,0,0,71241,2049319,52194,0,-1349157.35,935767.73,645,17884.32,18975.61,116571.05,0,12674.44,25682.71,70222.99,262656.12,0,772330.4,-99218.79,0,935767.73
Cloverdale Citrus Fair,402018,0,677538,1079556,180000,4500,39939,8115,28506,9540,0,12804,345205,0,12674,19473,107537,2510,42838,629141,147374,116380,23877,9805,12775,0,16239,10858,0,0,0,36296,268587,0,2557,2559,882,23225,671414,,-41717,100510,374624,0,805440,1180064,1.199617524,0,983361.33,13325.63,69651.61,0,27233.35,939438.72,144066.55,0,-736114.18,1440963.01,24,3797.29,899.01,242550,0,6150,7477.86,0,260898.16,0,374624.44,805440.41,0,1440963.01
Chowchilla- Madera County Fair,1044395,0,-6297,1038098,180000,95403,59721,13900,38816,16536,0,400,0,76373,35387,1857,79430,0,238493,560913,210933,193048,19145,16036,3346,75,17264,14859,0,0,0,81808,0,0,0,0,68,34180,590762,,-42441,203113,1042320,0,198890,1241210,0.336666881,0,46021.9,22206,203550,0,17847,3355673,89744.13,0,-2420944.69,1314097.34,0,18932.98,49.55,29997.48,29323.86,0,4460.76,0,82764.63,-9878.1,1042320.11,198890,0,1314096.64
