Fair Name,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Miscellaneous Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Profit/(Loss) After Depreciation,Investment in Capital Assets,Restricted Resources,Unrestricted - Available for Operations,Total,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Resources for Junior Livestock Auction,Investment in Capital Assets ,Total Unrestricted Net Resources,Total Restricted Net Resources,Total Obligations & Resources
"10-A DAA, Tulelake-Butte Valley Fair",863056,0,309121,1172177,180000,184805,60378,0,21365,103562,5462,1584,59800,0,0,37349,6913,134142,1271,19496,390944,177543,183874,11850,14707,13510,29575,20260,21476,2855,0,0,77192,0,0,13315,-2277,-13,41825,605692,0,-55717,-30087,997040,0,329854,1326894,0.54459032,0,346773.14,20946.72,0,12769.31,52888.26,2088415.1,201198.71,0,-1358231.13,1364760.11,0,13042.45,0.03,119,0,600,24105.06,0,37866.54,0,997040.27,329853.32,0,1364760.13
"33rd DAA,      San Benito County Fair",794802,0,-32862,761940,180000,0,40000,69611,19275,46214,19170,15646,0,0,0,46932,2735,144186,69,19361,383199,216067,189521,22145,20368,8228,0,23872,26496,17711,0,0,35835,0,0,0,1646,-43,36213,598059,77156,-44114,-38974,834005,0,-33883,800122,-0.056654945,0,69143.7,28055.38,0,0,61441.95,2281827.91,61420.82,0,-1570695.77,931193.99,0,7556.98,9004.39,4602.11,0,11308.68,37152.9,0,69625.06,61446.97,834004.91,-33882.95,0,931193.99
"34th DAA, Modoc-Last Frontier Fair",321964,0,65207,387171,180000,30876,34618,19258,4750,11221,9116,30974,29601,0,0,2215,0,24215,0,11513,142863,103092,113467,11402,7157,4267,0,15883,8490,27351,0,0,38003,0,0,0,0,-4,34619,363727,0,-15698,-21944,326265,0,69837,396102,0.192003893,0,152924.65,1436.27,0,0,600,1562875.56,100373.29,0,-1337582.7,480627.07,-75,633.96,-68.48,61847.67,0,0,22185.76,0,84523.91,0,326266.15,69837.01,0,480627.07
"41st DAA, Del Norte County Fair",1118331,177094,9280,1304705,180000,49683,23648,83350,12175,75752,3771,1994,33279,0,0,33987,1350,148150,0,4116,397924,217174,203489,10936,18094,2775,5254,13904,27566,1300,0,0,114937,0,0,0,33715,104,29044,678292,-10284,-56844,-133564,1076133,144071,-9663,1210541,-0.014246077,0,44748.11,158735.83,1766.5,0,30352.53,2441168.16,175768.51,0,-1571156.78,1281382.86,1438,6205.89,0.03,16734.58,1143.89,11450,16999.6,-0.95,53971.04,16871.99,1076132.54,-9663.43,144070.72,1281382.86
"44th DAA, Colusa County Fair",930834.31,0,2973.59,933807.9,180000,38194.44,10500,97888,14100,84658,7356,0,38309,164460,0,58576,17877,78073,5985,12096,579378,211494,317942,31246,28215,7598,12645,13595,29827,0,0,0,61716,76713,0,0,-3747,-213,10500,797531,0,-58298,-85951,918014.53,0,-31964.44,886050.09,-0.040079245,0,188991.13,18862.99,8675.53,39294.18,3298.23,2149656.41,122802.25,0,-1388934.58,1142646.14,0,42756.08,405.95,99426,0,55855,38198.51,9923.6,246565.14,10031.04,918014.53,-31964.44,0,1142646.27
"51st DAA,    San Fernando Valley Fair",71311,3000000,-95021,2976290,180000,0,40000,56452,43610,37712,273,0,0,0,0,10601,0,0,61830,150984,361462,204722,133425,37211,34049,0,0,1733,78737,0,0,0,63225,0,0,0,14744,-44,0,567802,0,-2852,10808,68459,3000000,-81360,2987099,-0.143289386,3000000,-107475,39631,3035,0,0,0,35200,85573,-52314,3003650,0,4415,1090,0,0,0,19947,0,25452,-8901,68459,-81360,3000000,3003650
"52nd DAA, Sacramento County Fair",34398,0,236976,271374,180000,0,16704,0,104641,113759,16800,2592,3216,0,0,84208,0,1867,0,13247,340330,327285,35037,59860,0,7520,0,19584,124671,2269,0,0,54225,0,0,0,74,0,16704,647229,0,-5616,-115811,28782,0,126783,155565,0.195885846,0,260610.21,2959.98,0,0,0,76730.63,0,0,-47948.3,292352.52,0,44968.9,3878.98,30480.34,0,0,0,0,79328.22,57458.57,28782.33,126783.4,0,292352.52
"54th DAA, Colorado River Country Fair",772330,0,-99219,673111,180000,34068,39508,56268,0,86545,1841,0,0,3000,0,42206,3419,118097,0,609,311985,199742,206686,7695,8300,14684,7744,3254,5948,0,0,0,25395,0,0,0,-3049,144,39508,516051,0,-67990,-52548,746812,0,-92182,654630,-0.178629632,0,48224.21,40184,0,4067.71,71241,2074488,52194,0,-1417514.56,872884.36,1356,20540.96,6735.1,116571.05,5438,4600.94,25348.77,37664.99,218255.81,0,746811.71,-92183.16,0,872884.36
Cloverdale Citrus Fair,374624,0,805440,1180064,180000,0,40000,56165,8625,37135,6593,0,12031,439623,0,17811,19642,110207,59,55865,763756,165485,115384,23830,10037,6879,8938,19981,9761,0,0,0,52154,301564,0,12707,-2991,-13,19043,742759,0,-35280,205717,407936,0,977848,1385784,1.316507777,0,1185639.84,18511.8,73729.62,0,27233.35,1006178.72,145918.55,0,-771394.21,1685817.67,248,6134.8,849.25,279908.58,0,8150,4742.79,0,300033.42,0,407936.39,977847.86,0,1685817.67
Chowchilla- Madera County Fair,1042320,0,198890,1241210,180000,0,80016,66692,14175,45764,18222,0,425,0,53954,36806,2258,69282,-110,12800,320268,205592,190614,10596,18709,2087,1738,17505,19593,0,0,0,66910,0,0,0,-7778,233,65015,590814,0,-42941,-53471,1014380,0,173357,1187737,0.293420603,0,45423.84,17670.93,200000,0,17847.1,3370673.15,89744.13,0,-2463886.08,1277473.07,75,17946.71,187.33,6982.44,63370.11,0,3414.67,0,91976.26,-2240.33,1014380,173357.14,0,1277473.07
Mendocino County Fair,766817,0,191413,958230,180000,262404,44823,67394,12750,60324,6094,901,0,0,0,38073,35648,64714,15220,5108,306226,150481,157297,8026,12066,23080,9136,33981,32756,225,0,0,19650,0,0,394,11644,0,57253,515989,0,-54832,-39772,953351,0,227509,1180860,0.440918314,0,260267.94,10752.48,0,37151.84,0,0,80427.19,2386287.45,-1550515.53,1224371.37,0,0,0,27640.76,0,1461.25,14410.52,0,43512.53,0,953350.95,227507.89,0,1224371.37
Inter-Mountain Fair of Shasta County            FY 06/07,1040776,0,34749,1075525,135000,52869,20269,69425,12759,65928,8477,0,65518,0,0,38303,0,145597,0,4858,410865,236033,150187,11741,16247,7071,0,29648,23505,519,0,0,68737,0,0,0,0,0,11095,554783,0,-67380,-56029,1018265,0,54099,1072364,0.097513803,0,103642.81,1135.29,248.5,1500,999.32,2424160.62,181585.05,0,-1588479.9,1124791.69,0,2647.14,14685.85,15565,678.85,0,0,0,33576.84,18851.79,1018265.09,54097.97,0,1124791.69
Trinity County Fair,956832.73,0,103421.03,1060253.76,180000,52409.7,39502.84,16407,7775,25967,7474,2337,34423,1505,0,6917,1728,113317,0,1978,219828,138981,175026,8252,9281,3540,0,7896,24797,4019,0,0,43533,0,0,0,5093,2,14503,434923,0,9994,14401.84,984905,0,142159.55,1127064.55,0.326861421,0,117266.59,55095.95,0,0,0,0,62189,1616285.93,-693569.91,1157267.56,0,0,-65.7,0,0,0,14983.78,0,14918.08,15284.91,984905.02,142159.55,0,1157267.56
