Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Profit/(Loss) Before Depreciation,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets ,Total Obligations & Net Resources
"10-A DAA, Tulelake-Butte Valley Fair",329854,0,997040,1326894,180000,18269,35000,0,20465,107715,7582,997,44829,0,0,28120,5151,166659,843,26693,409054,185365,240254,19165,11547,7254,19083,20720,18880,2534,85833,0,0,13580,2719,0,12769,639703,0,-50196,-15649,326972,0,952344,1279316,0.511130947,0,357987.49,8478.81,0,0,0,52888.28,2101184.41,206698.71,0,-1408427.05,1318810.65,90,13850.55,0,0,177.5,525,24850.91,0,39493.96,0,326972.34,0,952344.35,1318810.65
"33rd DAA,      San Benito County Fair",-33849,0,822791,788942,180000,0,35287,53295,17955,41807,21546,20406,0,0,0,34384,2508,142234,134,42070,376339,226748,201119,26222,18315,5878,0,22580,25921,21725,30561,0,0,0,50,-77,4047,583089,0,-44114,8537,-25312,0,778677,753365,-0.043410183,0,78035.07,37608.05,0,0,0,61441.95,2258327.91,61420.82,0,-1602513.85,894319.95,0,10688.24,10381.44,1010,0,13640.68,41224.83,0,76945.19,64011.44,-25313.86,0,778676.83,894319.6
"34th DAA, Modoc-Last Frontier Fair",69837,0,326265,396102,180000,21996,18502,17931,4500,13251,9940,30299,35743,0,0,3265,0,27293,0,8647,150869,98326,116382,11959,9056,12336,0,14937,7855,28176,45704,0,0,5000,-9234,-6,10608,351099,0,-16168,-1728,64847,0,335357,400204,0.184697194,0,167926.7,7045.99,0,0,17864.76,600,1562875.56,107768.18,0,-1353750.89,510330.3,0,-106,253.25,86961.34,0,400,22618.15,0,110126.74,0,64845.42,0,335357.61,510329.77
"41st DAA, Del Norte County Fair",-9663,144071,1076133,1210541,180000,0,35000,77209,15999,85885,3341,2346,38098,4988,0,31039,1870,160733,69607,39460,530575,235099,248089,8499,17159,3433,3109,12884,21851,1202,95605,0,0,2743,57052,278,0,707003,0,-56530,38572,13092,149475,1054209,1216776,0.018517602,0,75647.95,164325.08,2936.45,0,0,30352.53,2488707.03,162836.64,0,-1627686.97,1297118.71,1499,10297.09,-932,21149.73,1127.3,11361.6,17366.55,-0.95,61868.32,18475.97,13091.14,149474.62,1054208.93,1297118.98
"44th DAA, Colusa County Fair",-31964.44,0,918014.53,886050.09,180000,392969.56,25000,102740,17450,85002,11211,0,50060,164797,0,58769,18001,103394,12707,8644,632775,231995,325234,34219,27867,8155,10725,19489,23603,0,87201,105128,0,0,-12958,9,25000,885667,0,-72419,-47892,-106627.59,0,1264957.14,1158329.55,-0.120392416,0,110811.2,13223.24,8829.35,0,30055.18,3298.23,2573304.97,122802.25,0,-1461734.88,1400589.54,0,3255,113.81,123070,0,60960,32903.28,2770.01,223072.1,19188.02,-106626.19,0,1264955.74,1400589.67
"51st DAA,    The Valley Fair",-81360,3000000,68459,2987099,180000,12001,12500,56055,24128,26400,478,0,0,0,0,11274,0,0,0,88525,206860,153608,108600,57357,68424,4065,0,1121,85670,0,116813,0,0,0,57758,0,0,653416,0,-400,-254056,-266957,3000000,11201,2744244,-0.408555958,3000000,-302461,35799,0,500,0,0,12001,35200,0,-36000,2745039,0,0,1079,0,0,0,20485,0,21564,-20768,-266957,3000000,11200,2745039
"52nd DAA, Sacramento County Fair",126783,0,28782,155565,180000,0,39901,0,70065,122821,23690,4460,4348,0,0,61183,0,0,16,7542,294125,251976,41917,46052,0,8669,0,19914,104864,4507,52638,0,0,0,-7656,0,39901,562782,0,-5616,-48756,78027,0,23166,101193,0.138645159,0,135134.4,15152.28,0,0,0,0,76730.63,0,0,-53564.36,173452.95,0,9031.88,2221.19,5079.34,0,0,2940.56,0,19272.97,52986,78027.71,0,23166.27,173452.95
"54th DAA, Colorado River Country Fair",-92182,0,746812,654630,180000,52796,31500,59936,0,79027,2389,0,0,0,0,41305,7089,98900,0,130,288776,204575,218293,4863,15699,11554,5152,8020,5110,0,26850,0,0,0,-2087,-55,3746,501720,0,-64617,-1444,-101660,0,743026,641366,-0.202622977,0,30229.39,34328.42,0,0,5617.08,71241,2123308.03,52194,0,-1482131.34,834786.58,1445,10764,1732.98,114538,0,18903.94,18834.49,27202.49,193420.9,0,-101660,0,743026.28,834787.18
Cloverdale Citrus Fair,977848,0,407936,1385784,180000,0,92872,60047,8875,40578,6256,0,10017,440444,0,17537,21476,104847,184,41157,751418,180692,127544,29144,10213,14298,8218,21535,14470,0,41937,359361,0,1611,9375,104,42566,861068,0,-29157,163222,1132330,0,387520,1519850,1.315029707,0,1381082.16,9741.75,103377.44,0,0,27233.35,1024668.72,145918.55,0,-810300.43,1881721.54,55,16804.8,-1104.51,5565,327698.82,7740,5112.46,0,361871.57,0,1132329.8,0,387520.17,1881721.54
Chowchilla- Madera County Fair,173357,0,1014380,1187737,180000,246510,78920,55079,11800,42900,18929,0,500,0,40395,31943,5498,119505,7887,9213,343649,215812,200538,8006,18055,2599,1729,16846,17082,0,62341,0,9000,0,-11521,24,47738,588249,0,-104421,14320,164425,0,1583953,1748378,0.279515987,0,256063.45,6862.82,0,6201.08,0,33347.1,3054989.92,20160.76,670244.36,-1778809.6,2269059.89,0,15477.4,-146.58,750,74215.2,0,5354.98,415979.77,511630.77,9052.04,164424.31,0,1583952.77,2269059.89
