Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds, ,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Profit/(Loss) Before Depreciation,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets ,Total Obligations & Net Resources
"10-A DAA, Tulelake-Butte Valley Fair",326972,0,952344,1279316,180000,204500,30000,0,19060,108996,7659,536,49892,0,0,35612,5198,142455,224,7681,377313,194696,243051,20418,15589,6464,1552,19007,18423,2117,87147,0,0,7891,1638,1,0,617994,0,-57013,-30681,296289,0,1099832,1396121,0.479436694,0,502278.04,20527.92,0,0,0,52888.28,2305684.41,206698.71,0,-1465439.64,1622637.72,0,12611.3,-27.39,184085,0,1225,28622.59,0,226516.5,0,296289.46,0,1099831.76,1622637.72
"33rd DAA,      San Benito County Fair",-25312,0,778677,753365,180000,557156,27500,63225,20125,41600,20702,20944,0,0,0,32499,6693,154270,3722,14331,378111,245607,221265,26564,14572,4282,1822,25232,31305,21960,30000,0,0,0,-40409,-111,948,583037,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,-73590,2574,-67457,0,1306965,1239508,-0.115699347,0,186831.8,42813.64,0,0,10000,61441.95,2839179.33,61430.82,0,-1665087.59,1536609.95,512,0,1384.48,190418.5,1771.17,10216.68,33850.46,0,238153.29,58949.44,-67457.29,0,1306964.51,1536609.95
"34th DAA, Modoc-Last Frontier Fair",64847,0,335357,400204,180000,0,34611.31,16707,4550,14798,10005,27695,31079,0,0,3285,0,32183,-306,8117,148113,106019,111961,12500,9701,12410.48,0,14151,12333,28404,49922,0,0,3308,-167411,0,2232,195530.48,0,-27300,167193.83,64100,0,476000,540100,0.327826127,0,356775.69,1126.63,661.26,0,101.47,600,1587816.92,107768.18,0,-1220285.88,834564.27,0,200,1044.32,273621.34,0,400,19198.44,0,294464.1,0,64099.7,0,476000.47,834564.27
"48th DAA, Schools Involvement Fair",278802,2971485,387554,3637841,150000,0,25058,0,0,0,0,0,0,0,0,0,0,25,0,43826,43851,177837,8497,6852,0,2167,4136,18341,30653,0,7005,0,0,0,-1435,0,25058,279111,0,-16148,-60202,218600,2971485,371406,3561491,0.783200949,0,3340962.45,5069.25,25216.07,0,0,0,0,18698.02,484442.19,-131734.52,3742653.46,0,3661.63,348.26,163417.63,0,0,13737,0,181164.52,0,218598.47,2971484.76,371405.69,3742653.44
"51st DAA,       The Valley Fair",-266957,3000000,11201,2744244,45000,0,0,32563,0,0,0,0,0,0,0,0,0,0,0,0,32563,135544,27851,1537,1600,87,0,0,0,0,0,0,0,0,1450,0,0,168069,-18028,0,-90506,-364288,3000000,0,2635712,-2.167490733,3000000,-352810.45,8555.78,0,0,0,0,11201,0,0,-11201,2655745.33,0,2051.97,0,0,0,0,17860.89,0,19912.86,120.85,-364288.38,3000000,0,2655745.33
"52nd DAA, Sacramento County Fair",78027,0,23166,101193,180000,0,9270,66212,53306,121439,22648,8080,7561,0,0,70618,9000,0,8,2003,360875,270522,33216,41325,6626,8628,0,18932,92273,4331,41104,0,0,0,-73,-41,9270,526113,0,-5616,24032,102059,0,17550,119609,0.193986843,0,356566.44,21712.09,0,0,0,0,76730.63,0,0,-59180.42,395828.74,0,47336.5,-13120.03,176233.34,0,0,6176.41,0,216626.22,59592.16,102060.15,0,17550.21,395828.74
"53rd DAA, Desert Empire Fair",-54122,0,1233306,1179184,150000,12342,17986,24829,10160,16993,2048,0,7650,0,20458,6409,59984,189812,1298,38881,378522,228956,181361,9502,8658,3097,40578,2489,3835,0,26452,4758,34832,0,-2462,93,0,542149,0,-75073,4359,-85802,0,1206614,1120812,-0.158262765,0,93281.84,9147.37,8382.16,0,12511.23,71375.36,2660148.16,93904.2,0,-1420170.22,1528580.1,6542,14085.35,462.11,112845.4,0,7780.89,54898.42,211154,407768.17,0,-85802,0,1206614,1528580.17
"54th DAA, Colorado River Country Fair",-101660,0,743026,641366,180000,9078,27500,60330,0,81990,1184,0,0,0,0,41381,4250,95789,14188,24273,323385,214939,185277,5322,10293,11690,5565,8903,11663,0,27532,0,0,0,2229,55,0,483468,0,-65540,47417,-91081,0,723401,632320,-0.188390959,0,170401.36,22758.34,0,0,0,71241,2162274.88,52194,0,-1547671.62,931197.96,1030,13450.04,1789.63,224000,0,11470.94,32491.53,14647.49,298879.63,0,-91082.58,0,723400.91,931197.96
Chowchilla- Madera County Fair,164425,0,1583953,1748378,180000,130074,14340,60199,9615,40848,23357,0,625,0,54266,20930,69724,60189,0,1746445,2086198,371971,237506,13194,17249,-6233,16392,17403,20342,0,63358,0,0,41325,50359,-86,6348,849128,0,-101615,1431410,1624190,0,1584056,3208246,1.912774046,0,1827793.23,16690.04,0,6201.08,0,33347.1,2915812.4,20160.76,670244.36,-1645371.99,3844876.98,0,11166.93,315.13,180750,8312.09,0,7392.08,410137.31,618073.54,18555.04,1624192.45,0,1584055.95,3844876.98
Mendocino County Fair,507055,0,847337,1354392,180000,198798,65391,67997,12900,62013,7940,496,0,0,0,34148,47570,63488,2108,5850,304510,156632,165133,10625,13954,40276,13104,35393,31585,225,15375,0,0,514,0,-60,3656,486412,-8999,-63850,63489,515418,0,1028412,1543830,1.047374036,0,697136.95,1725,0,0,28789.98,0,0,98427.19,2574682.25,-1673487.77,1727273.6,0,0,0,170393.22,0,0,13050.88,0,183444.1,0,515417.85,0,1028411.65,1727273.6
