Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Profit/(Loss) Before Depreciation,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,,,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets ,Total Obligations & Net Resources
"10-A DAA, Tulelake-Butte Valley Fair",296289,0,1099832,1396121,198000,27375,35000,0,24890,112234,7111,813,24497,0,0,35738.5,11126,137361.5,-5568,5622,353825,207500,262451,23421,22718,8142,8190,20350,20079,3381,97953,0,0,12467,-9232,0,0,677420,0,-56543,-90595,205694,0,1070664,1276358,0.303643235,,"10-A DAA, Tulelake-Butte Valley Fair",0,446693,12264,0,0,0,52888,2333059,206698.71,0,-1521982,1529620.71,0,30069,0,186195,377,500,36122,0,253263,0,205694,0,1070664,1529621
"33rd DAA,      San Benito County Fair",-67457,0,1306965,1239508,198000,57360,34723,63780,22125,40828,17305,22790,0,0,0,33557.5,175882.95,0,-5553,13881,384596.45,221699,236314,25061,16791,7727.7,652,21290,30580.5,27870,32745,0,0,4043,11023,-18,477,636255.2,0,-61248,-18935.75,-84603,0,1301287,1216684,-0.13297023,,"33rd DAA,      San Benito County Fair",0,198771.3,28503,0,3226.4,10000,61441.95,2902115.2,61431.4,0,-1733701.56,1531787.69,20256,0,-1103,192425,0,12741,43848,0,268167,46936.26,-84603,0,1301287.4,1531787.66
"34th DAA, Modoc-Last Frontier Fair",64100,0,476000,540100,198000,239196,47415,19614,4050,19956,9282,30669,30108,0,0,3260,0,33386,0,7012,157337,122141,118301,13360,9063,24851,0,12049,11566,29532,55352,0,0,0,318,10,2024,398567,0,-33584,4185,68386,0,681511,749897,0.171579684,,"34th DAA, Modoc-Last Frontier Fair",0,356496,824,0,0,0,600,1827013,107795,0,-1253870,1038858,0,-298,661,264113,0,400,24087,0,288963,0,68384,0,681511,1038858
"48th DAA, Schools Involvement Fair",218600,2971485,371406,3561491,165000,0,39668,0,0,0,0,0,0,0,0,0,0,0,0,29900,29900,171532,7678,4450,0,10087,2198,21217,57874,0,10810,0,0,0,-884,0,0,284962,0,-16148,-50394,168206,2971485,355258,3494949,0.590275195,,"48th DAA, Schools Involvement Fair",0,3303390,3723,5061,0,0,0,0,18698.02,484442.19,-147883,3667431.21,0,4691.5,371.5,148749.5,0,0,18671,0,172483.5,0,168205.5,2971484.5,355257.5,3667431
"51st DAA,       The Valley Fair",-331831,3000000,-1966,2666203,198000,0,15000,16211,8350,15181,489,0,0,0,0,1797,0,0,0,10448,52476,103363,19061,12312,77892,766,0,1104,7477,0,49611,0,0,0,15284,0,0,286870,0,-7860,-21394,10,3000000,-4471,2995539,3.4859E-05,,"51st DAA,       The Valley Fair",2568126,59261,165,7,500,0,0,0,39302,0,-23581,2643780,0,9082,0,0,712,0,3002,14836,27632,-20800,-358581,3000000,-4471,2643780
"52nd DAA, Sacramento County Fair",95742,0,17550,113292,198000,0,0,61289,57081,99134.5,23011,5507,4744.5,0,0,99999,4000,0,3013,1796,359575,250650,37641,59688,8222,658,0,21635,100257.4,4566.4,62777,0,0,0,-568,-3,0,545523.8,0,-5616,12051.2,107793,0,11934,119727,0.197595412,,"52nd DAA, Sacramento County Fair",0,333017,29844,1593,0,0,0,76730.63,0,0,-64796,376388.63,0,22470,416,189733,0,0,6856,0,219475,37187,107793,0,11934,376389
"53rd DAA, Desert Empire Fair",-85802,0,1206614,1120812,165000,41176,41298,25191,13480,19065,2316,0,4300,0,13009,10966,39563,226121,0,70,354081,208631,194110,8786,7897,4460,34171,2619,2835,0,29780,0,24298,35861,-4329,318,0,549437,0,-72107,10942,-83214,0,1184037,1100823,-0.151453215,,"53rd DAA, Desert Empire Fair",0,114506,51246,2277,0,40865,71375,2660148,93904,0,-1492277,1542044,2115,20708,1512,167235,0,12320,47353,189978,441221,0,-83214,0,1184037,1542044
"54th DAA, Colorado River Country Fair",-91081,0,723401,632320,198000,15526,30000,55453,0,76913,1662,0,0,0,0,53998,5078,84598,0,15555,293257,221416,170090,2822,15264,19114,4659,8984,2970,0,27448,0,0,773,-5232,113,0,468421,0,-70338,52836,-76381,0,706726,630345,-0.16306058,,"54th DAA, Colorado River Country Fair",40560,125,26195,0,0,0,71241,2182780,72797,0,-1618010,775688,586,7330,4184,89790,0,6833,34528,2092,145343,0,-76381,0,706726,775688
Chowchilla- Madera County Fair,1624190,0,1584056,3208246,198000,29918,595238,60961,12740,51139,24051,0,425,0,53241,23260,4138,36398,1575,4152,272080,290740,213865,16288,16555,5399,2605,17024,23335,,72765,0,538,39014,-9967,76,23712,711949,0,-101399,353369,979174.25,0,2506696,3485870.25,1.375343248,,Chowchilla- Madera County Fair,0,1190544,13153,0,2009,945188,33347,2909330,20161,670244,-1710584,4073392,110,10607,41,187200,121,0,1858,360991,560928,26594,979174,0,2506696,4073392
Mendocino County Fair,515418,0,1028412,1543830,198000,31727,0,59039,14650,63692,7485,1000,0,0,0,35437,50382,72564,24093,1500,329842,160723,163986,11554,14393,32819,13128,41031,36809,226,18330,0,0,10249,0,0,0,503248,0,-61879,24594,564572,0,973700,1538272,1.121856421,,Mendocino County Fair,0,749534,5525,0,0,28790,0,0,98427,2581849,-1735366,1728759,145,0,0,184250,0,2000,4092,0,190487,0,564572,0,973700,1728759
