Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Profit/(Loss) Before Depreciation,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Adjustment for rounding,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets ,Adjustment for rounding,Total Obligations & Net Resources,Facebook - likes/visits,Twitter - tweets/followers,Instagram - number of posts
"10-A DAA, Tulelake-Butte Valley Fair",262287,0,1047345,1309632,139300,0,0,0,22045,116676,9996,50,23979,0,0,87348,20947,150820,1890,83012,516763,181989,206205,18266,24277,23709,15948,21061,21721,331,61213,0,0,2514,10828,0,0,588062,0,54831,68001,330289,0,992514,1322803,0.561656764,0,355507.3,24343.24,0,0,0,52888.28,2361591.83,206698.71,0,-1628665.13,0,1372364.23,0,7038.91,0,87.5,117.31,300,42018.72,0,49562.44,0,330288.12,0,992513.69,0,1372364.25,62/0,N/A,N/A
"33rd DAA,      San Benito County Fair",-42797,0,1474306,1431509,124500,8090,10070,57554,19400,40922,21192,24235,0,0,0,73957,185604,0,752,816,424432,150316,192800,25069,15473,17029,315,10608,9589,23612,24425,0,0,0,-7065,-424,0,461747,0,67509,97255,54726,0,1414618,1469344,0.118519449,0,101379,11049,0,281,0,61442,3161161,61431,0,-1869417,0,1527326,0,8857,-38,2550,,7130,10314,0,28813,29172,54726,0,1414618,-3,1527326,"1,603/1,688",N/A,43
"34th DAA, Modoc-Last Frontier Fair",72694,0,647949,720643,0,0,188320,17361,3450,16233,28169,35882,21510,0,0,6469,0,29186,0,4876,163136,121141,116879,8120,8111,19546,0,16610,8550,32675,18296,0,0,0,0,0,2239,352167,0,33587,-711,72000,0,614363,686363,0.204448458,0,185493.37,1280.44,0,0,0,600,1827040.13,107768.18,0,-1321045.69,0,801136.43,0,0,-48.24,77738.02,0,400,36683.69,0,114773.47,0,72000.34,0,614362.62,0,801136.43,428/68,N/A,N/A
"48th DAA, Schools Involvement Fair",144851,2971485,339110,3455446,148500,0,0,0,0,0,0,0,0,0,0,0,0,0,1209,17569,18778,187365,10249,3666,0,6091,1165,20904,49201,0,10738,0,0,0,8,0,0,289387,0,16148,-122109,22741,2971485,322962,3317188,0.07858335,0,2991910,2432,13160,0,0,0,0,18698,484442,-180179,0,3330463,0,4987,437,0,0,0,7855,0,13279,0,22741,2971485,322962,-4,3330463,61/0,N/A,N/A
"51st DAA,       The Valley Fair",-53329,3000000,0,2946671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9994,9994,79630,0,0,0,25000,0,0,0,0,0,0,0,0,-2527,0,0,102103,0,0,-92109,-148440,3000000,0,2851560,-1.453826038,2785657,60137,2260,0,0,0,0,0,0,0,0,0,2848054,0,16572,0,0,721,0,0,0,17293,-20800,-148440,3000000,0,1,2848054,"8,974/8,172",376/429,N/A
"52nd DAA, Sacramento County Fair",113409,0,6318,119727,0,0,0,124421,77121,150971,43798,11409,62592,0,0,77531,24388,1289,762,5469,579751,240752,17492,84689,952,17925,0,0,67562,1515,134857,0,0,0,7807,1,0,573552,0,5616,6199,119608,0,702,120310,0.208539069,0,453368,2940,175,0,0,0,76730.6,0,0,-76028.6,0,457185,0,14074,341,274511,0,0,6609,0,295535,41339,119609,0,702,0,457185,"4,715/16,348",5/79,142
"53rd DAA, Desert Empire Fair",44538,0,1300519,1345057,0,0,0,34635,13129,29260,2177,0,0,0,0,15031,123719,151815,-25,24730,394471,139462,186822,18917,5043,-66,0,0,8176,0,39233,20817,0,3053,4,935,0,422396,0,84407,-27925,-153367,0,1386091,1232724,-0.363088192,0,38173.47,4686.46,3215.5,0,0,71375.36,2852450.83,123355.44,0,-1661090.89,0,1432166.17,3591,32937.69,0,711,0,13890.68,0,148311.92,199442.29,0,-153366.86,0,1386090.74,0,1432166.17,419/631,N/A,N/A
"54th DAA, Colorado River Country Fair",205069,0,637044,842113,88494,0,2020,52860,0,73995,12762,0,0,0,0,51141,129482,0,790,-30769,290261,174240,190866,3960,14448,25245,1466,6715,1944,0,31750,7638,0,0,-18566,0,12714,452420,0,50917,-71645,114600,0,604952,719552,0.253304452,0,169733,6477,945,0,0,71241,2185402,72797,0,-1724488,0,782107,0,25388,1228,5940,0,4465,25532,0,62553,0,114600,0,604952,2,782107,53/73,N/A,N/A
Chowchilla- Madera County Fair,318462,0,2941606,3260068,79600,0,0,70851,9050,54553,24321,0,425,0,14609,37396,67567,74013,60288,429,413502,236267,102273,17009,19617,9574,3982,12015,18725,0,73090,0,0,19868,17013,25,0,529458,0,160430,-36356,190521,0,2872761,3063282,0.359841574,0,273197.4,5876.77,0,0,0,33347.1,4422023.69,69366.89,633250.8,-2019160.32,0,3417902.33,0,19103.39,527.98,1750,522.43,1600,7807.22,266067.36,297378.38,57243.6,190519.55,0,2872760.8,0,3417902.33,772/296,138/447,5
Mendocino County Fair,699496,0,872279,1571775,0,0,179100,82738,12900,69610,6120,315,0,0,0,36616,54170,85292,2005,710,350476,174256,146027,11714,14812,53066,17743,36977,27378,225,12675,0,0,951,0,0,0,495824,0,53935,33752,679313,0,872279,1551592,1.370068815,0,707394.72,4109.9,0,0,28126.51,0,0,105541.69,2581848.94,-1843237.81,0,1583783.95,415,0,0,0,0,17000,14776.71,0,32191.71,0,679312.91,0,872279.33,0,1583783.95,115/282,N/A,3
