Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Profit/(Loss) BEFORE Depreciation,Net Profit/(Loss) AFTER Depreciation,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,This ratio describes a Fair’s ability to earn net profit from revenues.,This ratio measures what portion of a Fair's assets are contributed by debt.,This ratio measures what portion of a Fair's assets are contributed by revenues.,This ratio measures the solvency of Fairs.,# of Permanent Positions,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Adjustment for rounding,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets ,Adjustment for rounding,Total Net Resources,Total Obligations & Net Resources
"10-A DAA, Tulelake-Butte Valley Fair",330289,0,992514,1322803,40000,0,0,0,19080,124584,8681,25,27622,0,0,78828,5851,158687,5341,64472,493171,175819,227242,23040,23286,12477,3134,19626,19568,482,63531,0,0,509,4466,10,0,573190,0,53531,-40019,-93550,290270,0,938983,1229253,0.506411487,-0.175459656,0.030724213,0.969275787,0.031698113,3,0,323295,5940,0,0,0,52888,2361592,206699,0,-1682196,0,1268218,0,4349,0,50,211,465,33890,0,38965,0,290270,0,938983,0,1229253,1268218
"33rd DAA,      San Benito County Fair",54726,0,1414618,1469344,40000,73039,31769,73150,18250,45551,23847,26529,0,0,0,86537,200365,0,3721,8338,486288,169702,225767,27169,17809,11053,859,11987,13432,25103,23500,0,0,0,6452,-748,0,532085,0,69706,99011,29305,80699,0,1417950,1498649,0.151665617,0.046435091,0.044567557,0.955432443,0.046646476,2,0,144977,37329,0,2614,7112,61442,3227088,61431,0,-1939123,0,1602870,0,25305,2938,23983,0,7081,12129,0,71436,32785,80699,0,1417950,0,1531434,1602870
"34th DAA, Modoc-Last Frontier Fair",73048,0,614363,687411,114131,0,154932,17004,3750,15420,23665,35150,15450,0,0,8236,0,26719,0,6139,151533,138316,134941,11057,6904,16252,0,14487,9802,33512,19035,0,0,0,1048,1,2228,387583,0,32108,33013,905,106062,0,582254,688316,0.273649773,0.002151709,0.055785937,0.944214063,0.059081875,2,0,146189,539,0,0,0,600,1827040,107768,0,-1353153,0,728983,0,0,-169,0,0,400,40436,0,40667,0,106062,0,582254,0,688316,728983
"48th DAA, Schools Involvement Fair",22741,2971485,322962,3317188,33000,0,0,0,0,0,0,0,0,0,0,2500,0,0,1341,8994,12835,207970,8584,3311,0,4762,1543,17430,47334,0,10788,0,0,0,0,0,0,301722,0,16148,-255887,-272035,-233146,2971485,306814,3045153,-0.772717932,-5.935093269,0.006370017,0.993629983,0.006410854,2,0,2735040,4305,18512,0,0,0,0,18698,484442,-196327,0,3064670,0,6253,2557,0,0,0,10712,0,19522,0,-233146,2971485,306814,-5,3045148,3064670
"51st DAA,       The Valley Fair",-148440,3000000,0,2851560,39600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8456,8456,79508,0,0,0,25000,0,0,0,0,0,0,0,0,-44,0,0,104464,0,0,-56408,-56408,-204848,3000000,0,2795152,-1.960943483,-1.173797237,0.006155395,0.993844605,0.006193518,0,0,2789244,2291,0,0,0,0,0,0,0,0,0,2791535,0,16462,0,0,721,0,0,0,17183,-20800,-204848,3000000,0,0,2774352,2791535
"52nd DAA, Sacramento County Fair",119608,0,702,120310,0,0,0,156036,84401,172334,53527,8767,50803,0,0,79526,1067,5064,-840,2576,613261,248234,7052,72127,128,16747,0,3433,91051,74,171304,0,0,0,2070,0,0,612220,0,702,1041,339,120649,0,0,120649,0.197068047,0.000552783,0.627533506,0.372466494,1.684805252,1,0,502323,7862,175,0,0,0,76731,0,0,-76731,0,510360,0,4341,1816,314111,0,0,0,0,320268,69442,120650,0,0,0,190092,510360
"53rd DAA, Desert Empire Fair",-153367,0,1386091,1232724,40000,29119,0,27337,15295,20328,717,0,0,0,0,46199,20531,242911,2321,2136,377775,150955,106829,17179,10991,2118,65060,0,1838,0,39150,0,0,0,4419,108,0,398647,0,86025,48247,-37778,-23682,0,1218628,1194946,-0.059405941,-0.084534588,0.143014038,0.856985962,0.166880258,0,350,36439,8797,2552,0,0,71375,2900991,123356,0,-1747116,0,1396744,2952,39954,0,18485,162,8222,0,129979,199754,2044,-23682,0,1218628,0,1196990,1396744
"54th DAA, Colorado River Country Fair",114600,0,604952,719552,40000,0,0,60908,8920,62303,4668,0,0,0,0,32275,3418,123152,-925,38227,332946,174767,193570,2626,16730,4920,8131,4145,8007,0,37643,0,0,0,27151,99,0,477789,0,69448,-104843,-174291,70100,0,475161,545261,0.146717484,-0.467335754,0.053842683,0.946157317,0.056906692,2,0,91239,9890,0,0,0,71241,2185402,71644,0,-1853126,0,576290,0,0,0,0,0,,31029,0,31029,0,70100,0,475161,0,545261,576290
Chowchilla- Madera County Fair,190521,0,2872761,3063282,40000,0,187932,64124,9720,59367,23221,0,9235,0,7738,41807,74715,80635,0,11741,382303,282018,83327,15107,18574,12230,32479,15065,18268,0,71426,0,0,0,1280,125,0,549899,0,160430,60336,-100094,238859,0,2724329,2963188,0.434368857,-0.164025335,0.089922542,0.910077458,0.09880757,2,0,375201,5373,397,0,0,33347,4422024,69367,633251,-2179591,0,3359369,180,25396,168,5965,344,2000,13963,254067,302083,94098,238859,0,2724329,0,3057286,3359369
Mendocino County Fair,673469,0,872279,1545748,40000,547,0,82400,13700,70535,6296,430,0,0,0,87132,68350,121056,2654,11228,463781,156812,148916,12776,14900,38999,16273,40471,23666,250,15425,0,0,487,0,0,0,468975,0,53935,35353,-18582,708821,0,818345,1527166,1.511425982,-0.036845069,0.005357589,0.994642411,0.005386448,3,0,717048,0,0,0,28126,0,0,105542,2581849,-1897173,0,1535392,1762,0,0,547,0,750,5167,0,8226,0,708821,0,818345,0,1527166,1535392
