Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Prior Year Audit Adjustment(s),Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Carnivals,Concessions,Exhibits,Horse Show,Fair Attractions,Interim Attractions,Motorized Racing,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Fair Entertainment Expense,Interim Entertainment Expense,Motorized Racing,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Operating Profit/(Loss) BEFORE Depreciation,Net Operating Profit/(Loss) AFTER Depreciation,Net Profit/(Loss) BEFORE Depreciation,Net Profit/(Loss) AFTER Depreciation,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,Less Accumulated Depreciation,Adjustment for rounding,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets ,Adjustment for rounding,Total Net Resources,Total Obligations & Net Resources,This ratio describes a Fair’s ability to earn net profit from operating revenues.,This ratio measures what portion of a Fair's assets are contributed by debt.,This ratio measures what portion of a Fair's assets are contributed by revenues.,This ratio measures the solvency of Fairs.,# of Permanent Positions,Paid Fair Admissions,Free Fair Admissions,Total Admissions 
"10-A DAA, Tulelake-Butte Valley Fair",290270,0,938983,,1229253,40000,0,0,0,26520,65738,65572,17109,0,25751,0,0,43123,34502,174201,-102,43775,496189,218949,246607,18007,24312,10167,19309,23383,25359,776,58083,0,0,9137,1728,7,0,655824,0,53531,-159635,-213166,-119635,-173166,170635,0,885452,1056087,0.260184135,0,225028,2793,0,0,0,52888,2361592,206699,0,-1735727,0,1113273,0,10734,0,100,723,400,45229,0,57186,0,170635,0,885452,0,1056087,1113273,-0.321722166,0.051367454,0.948632546,0.054148948,3,Free Gate,Free Gate,Free Gate
"33rd DAA,      San Benito County Fair",80699,0,1417950,,1498649,40000,179263,25576,68450,20875,,41269,21772,48974,0,0,0,196160,0,204293,2083,43618,647494,192599,234058,31782,28336,12440,0,6389,18684,41481,30657,1058,0,0,1165,-286,2577,600940,0,71693,46554,-25139,291393,219700,188634,0,1529715,1718349,0.313898226,0,266024,58465,0,8328,160903,61442,3245088,73099,0,-2010816,0,1862533,0,39315,4899,17427,0,11825,14467,0,87933,56251,188634,0,1529715,0,1774600,1862533,0.071898736,0.047211512,0.952788488,0.049550885,3,8257,3632,11889
"34th DAA, Modoc-Last Frontier Fair",106062,0,582254,,688316,40000,0,198417,15743,3100,5850,11335,30720,29074,19106,0,0,9190,0,17661,0,5938,147717,124201,123772,5169,6855,18301,0,13103,10626,31386,21756,0,0,0,0,0,1433,356602,0,32108,-208885,-240993,29532,-2576,135594,0,550146,685740,0.380239034,0,175536,936,0,0,0,600,1827040,107768,0,-1385260,0,726620,0,200,-402,0,0,0,41082,0,40880,0,135594,0,550146,0,685740,726620,-1.414089103,0.056260494,0.943739506,0.059614431,2,3127,459,3586
"48th DAA, Schools Involvement Fair",-233146,2971485,306814,,3045153,33000,0,0,0,0,,0,0,0,0,0,0,0,0,10,965,7706,8681,207388,8207,2361,0,3994,874,18132,47814,0,10150,0,0,244,383,0,0,299547,0,16148,-290866,-307014,-257866,-274014,-491011,2971485,290665,2771139,-1.639178493,0,2497991,2249,5104,0,0,0,0,18698,484442,-212475,0,2796009,0,17739,2598,0,0,0,4538,0,24875,0,-491011,2971485,290665,-5,2771134,2796009,-33.50604769,0.008896609,0.991103391,0.00897647,2,N/A,N/A,N/A
"51st DAA,       The Valley Fair",-204848,3000000,0,0,2795152,39600,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7023,7023,72728,0,0,0,4700,0,0,1059,0,0,0,0,0,0,0,0,78487,0,0,-71464,-71464,-31864,-31864,-236712,3000000,0,2763288,-3.015938945,0,2759459,0,0,0,0,0,0,0,0,0,0,2759459,0,16250,0,0,721,0,0,0,16971,-20800,-236712,3000000,0,0,2742488,2759459,-10.17570839,0.006150119,0.993849881,0.006188177,0,N/A,N/A,N/A
"52nd DAA, Sacramento County Fair *",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"53rd DAA, Desert Empire Fair",-23683,0,1218628,,1194945,40000,0,0,39197,11685,0,27353,7446,0,0,0,0,11818,14642,74085,14937,182539,383702,143339,124992,13281,6680,3722,8382,0,1612,0,36680,0,0,0,2720,58,52854,394320,0,83775,-10618,-94393,29382,-54393,-14301,0,1154853,1140552,-0.036267498,0,19984,9132,2792,0,0,71375,2214554,123356,686437,-1830891,0,1296739,0,38248,0,1850,2581,2620,0,109979,155278,909,-14301,0,1154853,0,1141461,1296739,-0.027672517,0.119744991,0.880255009,0.136034433,0,7372,2650,10022
"54th DAA, Colorado River Country Fair",70099,0,475161,,545260,40000,0,0,57721,8040,43395,23800,13974,0,0,0,0,65068,0,93347,72,51185,356602,178304,163941,5359,11144,12839,-406,3712,11010,0,33814,0,0,0,5015,-119,-254,424359,0,55190,-67757,-122947,-27757,-82947,42342,0,419971,462313,0.099778725,0,59997,15290,0,0,0,71241,2185402,71644,0,-1908316,0,495258,0,1916,0,0,0,,31029,0,32945,0,42342,0,419971,0,462313,495258,-0.190007347,0.066520884,0.933479116,0.071261245,2,8021,8858,16879
Chowchilla- Madera County Fair,238859,0,2724329,,2963188,40000,0,0,65340,13500,34249,30896,25120,0,8700,12857,0,73959,102012,83531,0,11686,461850,241951,78561,15768,17279,19484,35219,15386,7426,0,74113,0,0,0,784,21,0,505992,0,159970,-44142,-204112,-4142,-164112,200017,0,2599059,2799076,0.395296764,0,360733,4519,0,0,0,33347,4434724,69367,633251,-2339561,0,3196380,405,19902,724,22415,0,1000,16373,232067,292886,104418,200017,0,2599059,0,2903494,3196380,-0.095576486,0.091630532,0.908369468,0.100873637,2,6587,3127,9714
Mendocino County Fair *,708821,,818345,-38451,1488715,40000,,,95862,12500,36465,40559,7365,145,,,,46875,60807,109529,1766,2493,414366,128416,152133,13744,15347,25255,16652,38064,30211,,26275,,,,7190,,,453287,,52257,-38921,-91178,1079,-51178,669338,0,768199,1437537,1.476631803,,713043,3096,,,,,,121459,2602544,-1955804,,1484338,3169,,,40000,739,750,2143,,46801,0,669338,0,768199,0,1437537,1484338,-0.093929039,0.031529881,0.968470119,0.032556379,1,11514,87,11601
