Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Prior Year Audit Adjustment(s),Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Carnivals,Concessions,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Attractions,Motorized Racing,Interim Attractions,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Motorized Racing,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Other Addition/(Reduction) in Resources,Depreciation Expense,Net Operating Profit/(Loss) BEFORE Depreciation,Net Operating Profit/(Loss) AFTER Depreciation,Net Profit/(Loss) BEFORE Depreciation,Net Profit/(Loss) AFTER Depreciation,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,"Computer Software, Land Use Rights, etc.",Less Accumulated Depreciation,Adjustment for rounding,Total Assets,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Total Obligations,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets ,Adjustment for rounding,Total Net Resources,Total Obligations & Net Resources,Profit margin ratio (operating profit/(loss) BEFORE depreciation)/total operating revenues),Quick Ratio [(current assets - inventories) / current liabilities],Quick Ratio* (with compensated absences liability),Debt ratio (total obligations/total assets),Equity ratio (total net resources/total assets),Debt to equity ratio (total obligations/total net resources),# of Permanent Positions,Paid Fair Admissions,Free Fair Admissions,Total Admissions 
"10-A DAA, Tulelake-Butte Valley Fair",170635,0,885452,17068,1073155,40000,0,0,0,25538,83354,67471,10709,0,0,0,20325,0,0,49229,35963,187843,3986,20768,505186,175816,250901,16901,21381,11867,24014,22665,21950,557,0,0,68164,0,0,1169,11090,-5,0,626470,0,53531,-121284,-174815,-81284,-134815,98948,0,839392,938340,0.157945313,0,129856,8283,0,0,0,52888,2366592,200332,0,0,-1780421,0,977530,0,16229,0,0,807,125,22030,0,39191,0,98948,0,839392,-1,938339,977530,-0.240077912,8.049589185,3.524763339,0.040091864,0.959908136,0.041766355,3,Free Gate,Free Gate,Free Gate
"33rd DAA,      San Benito County Fair",188634,0,1529715,0,1718349,40000,63063,23105,86703,22672,0,46541,23059,62890,0,0,20361,0,0,165439,0,236764,360,57695,722484,265107,238854,30033,33066,15208,0,7781,24650,54281,0,0,47569,0,11850,19493,3842,37,4829,756600,0,75791,-34116,-109907,92052,16261,217615,0,1516993,1734608,0.287622257,104207,236964,21113,9948,0,101040,61442,3368020,73099,0,0,-2086607,-2,1889224,0,9000,5343,9207,0,15350,11909,0,50809,103809,217615,0,1516993,0,1838417,1889226,-0.047220423,6.63437018,5.07935602,0.026894111,0.973106948,0.027637364,3,11261,3855,15116
"34th DAA, Modoc-Last Frontier Fair",135594,0,550146,0,685740,90920,0,0,16032,1750,5925,12804,27367,38058,0,0,17625,0,0,7074,15399,0,0,5891,147925,161321,125794,2757,6752,18644,0,8565,12391,34858,0,0,21846,0,0,0,799,0,1640,395367,0,32108,-247442,-279550,-156522,-188630,-20930,0,518040,497110,-0.052938156,0,22854,718,0,0,0,600,1827040,107768,0,0,-1417368,0,541612,0,500,2519,0,0,400,41083,,44502,0,-20930,0,518040,0,497110,541612,-1.672753084,6.894413571,0.529684059,0.082165831,0.917834169,0.089521434,2,3231,120,3351
"48th DAA, Schools Involvement Fair",-491011,2971485,290665,0,2771139,33000,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,2,7914,9537,19953,216724,9406,4186,0,3477,569,20316,47311,0,0,0,11404,0,0,0,445,0,0,313838,0,16148,-293885,-310033,-260885,-277033,-751898,2971485,274517,2494104,-2.395815676,0,2210519,9161,22641,0,0,0,0,18698,484442,0,-228623,1,2516839,0,13507,2329,0,0,0,6903,0,22739,0,-751898,2971485,274517,0,2494104,2516843,-14.72886283,140.1667088,97.61555038,0.009034746,0.990966844,0.009117102,2,Free Gate,Free Gate,Free Gate
"51st DAA,       The Valley Fair",-236712,3000000,0,0,2763288,39600,0,0,0,0,0,0,5950,0,0,0,0,0,0,0,0,0,0,9174,15124,84733,0,0,0,0,0,8000,3988,0,0,0,0,0,0,0,85,0,0,96806,0,0,-81682,-81682,-42082,-42082,-278794,3000000,,2721206,-2.879924798,2697337,18473,2496,0,0,0,0,0,0,0,0,0,0,2718306,0,17179,0,0,721,0,0,0,17900,-20800,-278794,3000000,0,0,2700406,2718306,-5.400819889,1.171452514,1.171452514,0.006584983,0.993415017,0.006628633,0,N/A,N/A,N/A
"52nd DAA, Sacramento County Fair",111674,0,9402,3,121079,0,0,0,190221,93926,115862,108317,63833,7957,,,42597,0,0,99774,20,6949,-1286,182,728352,248731,5437,76666,0,22025,0,1162,51311,275,0,0,224783,0,0,111627,-14600,0,0,727417,0,324,935,611,935,611,112612,0,9078,121690,0.154810789,393311,409966,16572,2697,0,0,0,76731,9726,0,0,-77379,0,831624,0,184222,4373,0,393311,0,0,0,581906,128028,112612,0,9078,0,249718,831624,0.00128372,0.73300155,0.73300155,0.699722471,0.300277529,2.330252525,0,38044,54974,93018
"53rd DAA, Desert Empire Fair",-14301,0,1154853,0,1140552,40000,0,17341,38906,12369,39845,,4028,0,0,0,1854,0,0,22390,11118,74119,791,160142,365562,145065,114307,7549,17152,2842,13523,884,1225,0,0,0,46357,0,0,10317,284,-639,49762,408628,0,83240,-43066,-126306,14275,-68965,-20027,0,1091613,1071586,-0.049010347,0,23817,11181,2007,0,0,71375,2214554,123355,686437,0,-1914130,0,1218596,0,43346,0,6465,2582,2320,0,89978,144691,2318,-20027,0,1091613,1,1073905,1218596,-0.11780765,0.639665162,0.639665162,0.118735824,0.881264176,0.134733519,0,6663,2614,9277
"54th DAA, Colorado River Country Fair",42342,0,419971,55411,517724,90920,0,0,63548,7395,37485,25287,25,0,0,0,0,0,0,71777,0,71436,0,25049,302002,170286,131686,7352,11954,12990,6580,3615,11062,0,0,0,30800,0,0,0,0,77,0,386402,,55190,-84400,-139590,6520,-48670,39576,0,429482,469058,0.10242183,0,51318,3086,0,0,0,71241,2250102,71644,0,0,-1963505,0,483886,0,-734,15563,0,0,0,0,0,14829,0,39576,0,429482,0,469058,483887,-0.279468348,3.668757165,3.668757165,0.030645648,0.969356419,0.031614427,1,7850,8661,16511
Chowchilla- Madera County Fair,200017,0,2599059,0,2799076,40000,0,0,82232,13260,0,73252,28320,0,0,0,13580,0,26898,71369,83595,86013,0,3518,482037,239676,82986,16843,18321,16016,27723,13985,7977,0,0,0,82855,0,0,0,60,180,0,506622,0,158825,-24585,-183410,15415,-143410,185929,0,2469734,2655663,0.366997485,0,343103,12865,0,0,0,33347,4434724,74867,633251,0,-2498386,0,3033771,-445,16315,573,5274,0,2000,22775,208067,254559,123549,185929,0,2469734,0,2779212,3033771,-0.051002309,15.0089809,7.656543061,0.083908443,0.916091557,0.091593948,2,15475,4123,19598
Mendocino County Fair,669338,0,768199,-1791,1435746,40000,0,0,86956,14567,35020,43362,19798,-25,0,0,0,0,0,49905,55300,104807,653,3001,413344,140111,149846,18902,13820,40784,8484,39502,30653,766,0,0,29425,0,-65,798,0,-1,-891,472134,,48705,-58790,-107495,-18790,-67495,650877,0,717375,1368252,1.378585317,0,674552,24308,0,0,0,0,0,121459,2602544,0,-2006628,0,1416235,1120,0,528,40000,0,750,5585,0,47983,0,650877,0,717375,0,1368252,1416235,-0.142230201,16.48332469,14.56474168,0.033880677,0.966119323,0.035068832,1,10531,631,11162
Inter-Mountain Fair of Shasta County,398664,0,129966,0,528630,0,0,0,60434,9825,54860,58614,4338,0,0,0,65470,56306,0,26705,0,90874,926,575,428927,165540,123800,9276,0,26898,0,13433,9174,0,0,0,87808,25752,8354,0,0,0,0,470035,,4990,-41108,-46098,-41108,-46098,357556,0,124976,482532,0.760700799,0,410288,16088,0,0,0,0,0,0,296268,0,-171292,0,551352,0,10655,707,0,3603,400,0,0,15365,53455,357556,0,124976,0,535987,551352,-0.095839152,27.74982102,27.74982102,0.027867859,0.972132141,0.02866674,6,9824,0,9824
Trinity County Fair,310445,0,988988,0,1299433,40000,0,25000,0,0,0,0,8280,0,0,0,1280,5057,0,3906,0,408313,0,556,427392,146291,167981,6749,4516,2986,0,2650,7128,120,0,0,1136,0,0,0,11823,0,0,351380,0,88109,76012,-12097,141012,52903,441098,0,911237,1352335,1.255330412,24076,421433,48975,0,0,0,0,0,115725,1994810,0,-1199297,-1,1405721,0,8460,3510,13372,529,0,0,0,25871,27515,441098,0,911237,0,1379850,1405721,0.177850779,18.1828302,18.1828302,0.018404079,0.981595921,0.018749139,3,Cancelled,Cancelled,Cancelled
