Fair Name,Unrestricted - Available for Operations,Restricted Resources,Investment in Capital Assets,Prior Year Audit Adjustment(s),Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Carnivals,Concessions,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Attractions,Motorized Racing,Interim Attractions,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Motorized Racing,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Depreciation Expense,Pension Expense,Net Operating Profit/(Loss) BEFORE Depreciation & Pension,Net Operating Profit/(Loss) AFTER Depreciation & Pension,Net Profit/(Loss) BEFORE Depreciation & Pension,Net Profit/(Loss) AFTER Depreciation & Pension,Unrestricted - Available for Operations,Unrestricted - Net Position Pension,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,"Computer Software, Land Use Rights, etc.",Less Accumulated Depreciation,Adjustment for rounding,Total Assets,Deferred Outflows of Resources,Total Assets & Deferred Outflows of Resources,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Net Pension Liability,Total Liabilities,Deferred Inflows of Resources,Total Liabilities & Deferred Inflows of Resources,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Unrestricted - Net Position Pension,Restricted Resources,Investment in Capital Assets ,Adjustment for rounding,Total Net Resources,"Total Liabilities, Deferred Inflows of Resources, and Net Resources",Profit margin ratio (operating profit/(loss) BEFORE depreciation)/total operating revenues),Quick Ratio [(current assets - inventories) / current liabilities],Quick Ratio* (with compensated absences liability),Debt ratio (total obligations/total assets),Equity ratio (total net resources/total assets),Debt to equity ratio (total obligations/total net resources),# of Permanent Positions,Paid Fair Admissions,Free Fair Admissions,Total Admissions 
"10-A DAA, Tulelake-Butte Valley Fair",81880,0,839392,8846,930118,50920,0,3225,0,24380,89784,80760,6569,80,0,0,26957,0,0,103258,0,133477,23,104974,570262,113746,214581,15844,16115,12573,40978,24025,18435,0,0,0,62659,0,0,0,-3703,27,375,515655,53531,394694,54607,-393618,108752,-339473,173612,-368828,0,785861,590645,0.336682472,0,206915,242,0,0,0,52888,2366592,200332,0,0,-1833952,0,993017,43514,1036531,0,203,6450,0,-4009,8235,22665,0,401367,434911,10975,445886,0,173612,-368828,0,785861,0,590645,1036531,0.095757739,19.04191562,6.175679704,0.430171408,0.569828592,0.754913696,2,N/A,N/A,N/A
"33rd DAA,      San Benito County Fair",217615,0,1516993,0,1734608,50920,86114,7603,76109,16085,0,42549,18367,60962,0,0,25240,0,0,158235,0,291626,2190,27714,719077,233777,243099,38594,31888,21335,0,17995,25836,39050,0,0,54061,0,8118,55235,2111,-306,1427,772220,81101,199332,-53143,-333576,91494,-188939,234802,-160444,0,1471312,1545670,0.304061019,103179,252601,36949,4628,0,4540,61442,3494464,78574,0,0,-2167708,0,1868669,59188,1927857,0,38406,4867,6336,1010,19035,11916,0,239654,321224,-20022,301202,80989,234802,-160444,0,1471312,0,1626659,1927861,-0.073904464,4.156975909,3.549711904,0.156236692,0.843765383,0.185166037,4,6990,3939,10929
"34th DAA, Modoc-Last Frontier Fair",-20930,0,518040,6287,503397,148422,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,16316,0,1208,17814,62474,59454,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,0,0,123360,32108,253714,-105546,-391368,42876,-242946,28233,-253714,0,485932,260451,0.228866732,0,23270,0,3049,0,0,600,1827040,107768,0,0,-1449476,0,512251,18399,530650,0,2573,214,0,0,400,0,0,263055,266242,3957,270199,0,28233,-253714,0,485932,0,260451,530650,-5.924890536,7.301537496,7.301537496,0.509184962,0.490815038,1.037427386,1,0,3000,3000
"48th DAA, Schools Involvement Fair",-751898,2971485,274517,,2494104,42009,0,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1740,18463,16723,194543,9197,4141,0,665,1386,20054,56077,0,0,0,12786,0,0,0,340,0,0,299189,16148,321160,-282466,-619774,-238963,-576271,-1022994,-289027,2971485,258369,1917833,-3.4192233,1948030,10973,7161,16700,0,0,0,0,18698,484442,0,-244771,0,2241233,47633,2288866,0,20417,2414,120,0,0,11425,0,327956,362332,8704,371036,0,-1022994,-289027,2971485,258369,0,1917833,2288869,-16.89086886,0.790118078,0.527519199,0.162104728,0.837896583,0.193466272,2,N/A,N/A,N/A
"51st DAA,       The Valley Fair",-278794,3000000,0,0,2721206,50411,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,16609,18009,106534,0,0,0,1200,0,6100,585,0,0,0,0,0,0,0,700,0,0,115119,0,0,-97110,-97110,-46699,-46699,-325492,0,0,3000000,2674508,-2.827439432,2660586,9827,4532,0,0,0,0,0,0,0,0,0,0,2674945,0,2674945,0,20516,0,0,721,0,0,0,0,21237,0,21237,-20800,-325492,0,0,3000000,0,2653708,2674945,-5.392303848,0.67613128,0.67613128,0.007939229,0.992060771,0.008002764,0,N/A,N/A,N/A
"52nd DAA, Sacramento County Fair",112612,0,9078,0,121690,0,0,0,155240,99998,90944,103466,60281,6572,0,0,53539,0,0,83367,0,6299,1144,7637,668487,235331,4465,90928,0,22225,0,731,68006,210,0,0,236674,0,0,0,8666,0,0,667236,324,0,1251,927,1251,927,113864,0,0,8753,122617,0.170650265,443722,308280,25939,0,0,0,0,76731,9726,0,0,-77704,0,786694,0,786694,0,55106,7340,0,443722,0,0,0,0,506168,0,506168,157909,113864,0,0,8753,0,280526,786694,0.00187139,0.66029263,0.66029263,0.643411542,0.356588458,1.804353251,0,31048,40479,71527
"53rd DAA, Desert Empire Fair",-20027,0,1091613,0,1071586,50920,0,3225,47779,15300,41788,0,837,0,0,0,2638,0,0,37241,19792,253623,2275,5864,427137,142424,104322,9121,12678,3041,690,3266,481,0,0,0,35659,0,60627,0,571,262,0,373142,74668,99590,53995,-120263,108140,-66118,66942,-99590,0,1038115,1005467,0.179400872,0,76262,8897,2811,0,1170,71375,2214554,123355,686437,0,-1988798,0,1196063,0,1196063,0,13441,0,2905,2582,2620,0,69978,83166,174692,16424,191116,-520,66942,-99590,0,1038115,0,1004947,1196063,0.126411432,3.952060516,3.952060516,0.15978757,0.84021243,0.190175203,0,7669,2635,10304
"54th DAA, Colorado River Country Fair",39576,,429482,-34817.53,434240.47,50920,0,0,62199,8601.27,37528.05,23935.56,1475,0,0,0,0,0,0,73513.68,0,73899.4,380,36545.7,318077.66,180210.05,110152.22,3380.68,11855.58,11355.57,5838.33,4728.73,3872.09,0,0,0,26515,0,0,0,-673.41,74.15,0,357308.99,26900,359257,-39231.33,-425388.33,11688.67,-374468.33,36963.54,-335262,0,358070.6,59772.14,0.10344979,0,47061.9,28507.45,0,0,0,71241,2185401.67,71643.5,0,0,-1970215.57,0,433639.95,12697,446336.95,0,0,25797.66,0,0,0,12808.15,0,365136,403741.81,-17177,386564.81,0,36963.54,-335262,0,358070.6,0,59772.14,446336.95,-0.123338841,2.929310255,1.957460548,0.866082922,0.133917078,6.467307511,1,7525,9089,16614
Chowchilla- Madera County Fair,185929,0,2469734,0,2655663,53271,0,0,77178,11890,0,78342,26047,0,0,0,10618,0,24737,55211,71010,120457,0,1021,476511,250106,126641,17163,18131,23258,36357,14976,6606,0,0,0,72810,0,0,9800,14315,22,0,590185,153168,0,-113674,-266842,-60403,-213571,101524,0,0,2340568,2442092,0.172020638,0,293842,284,1201,0,129,33347,4434724,74867,633251,0,-2651554,0,2820091,0,2820091,810,17730,384,6062,0,1000,25072,184067,0,235125,0,235125,142874,101524,0,0,2340568,0,2584966,2820091,-0.238554829,11.31863311,5.760625171,0.083374969,0.916625031,0.090958643,3,13339,5360,18699
Mendocino County Fair,650877,0,717375,0,1368252,50920,3225,,93651,12945,35256,41548,7822,212,0,0,0,0,0,66025,68294,89178,348,2911,418190,156685,156405,16892,12761,21554,17183,42570,29988,355,0,0,38584,0,0,0,0,-46,0,492931,48616,133390,-74741,-256747,-20596,-202602,621046,-133390,0,678004,1165660,1.25990453,0,650774,30792,0,0,9244,0,0,121459,2602544,0,-2055244,0,1359569,0,1359569,529,3450,765,54145,0,0,1631,0,133390,193910,0,193910,0,621046,-133390,0,678004,0,1165660,1359570,-0.178724981,11.57374043,11.2618308,0.142626082,0.857374653,0.16635211,1,11240,774,12014
