Fair Name,Unrestricted - Available for Operations,Unrestricted Net Position - Pension,Restricted Resources,Investment in Capital Assets,Prior Year Audit Adjustment(s),Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Carnivals,Concessions,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Attractions,Motorized Racing,Interim Attractions,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Motorized Racing,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Depreciation Expense,Pension Expense,Net Operating Profit/(Loss) BEFORE Depreciation & Pension,Net Operating Profit/(Loss) AFTER Depreciation & Pension,Net Profit/(Loss) BEFORE Depreciation & Pension,Net Profit/(Loss) AFTER Depreciation & Pension,Unrestricted - Available for Operations,Unrestricted - Net Position Pension,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,"Computer Software, Land Use Rights, etc.",Less Accumulated Depreciation,Adjustment for rounding,Total Assets,Deferred Outflows of Resources,Total Assets & Deferred Outflows of Resources,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Net Pension Liability,Total Liabilities,Deferred Inflows of Resources,Total Liabilities & Deferred Inflows of Resources,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Unrestricted - Net Position Pension,Restricted Resources,Investment in Capital Assets ,Adjustment for rounding,Total Net Resources,"Total Liabilities, Deferred Inflows of Resources, and Net Resources",Profit margin ratio (operating profit/(loss) BEFORE depreciation)/total operating revenues),Quick Ratio [(current assets - inventories) / current liabilities],Quick Ratio* (with compensated absences liability),Debt ratio (total obligations/total assets),Equity ratio (total net resources/total assets),Debt to equity ratio (total obligations/total net resources),# of Permanent Positions,Paid Fair Admissions,Free Fair Admissions,Total Admissions 
"10-A DAA, Tulelake-Butte Valley Fair",173612,-368828,0,785861,5368,596013,50920,12160,3225,0,23900,94596,73558,6538,0,0,0,15604,0,0,37523,61663,173765,0,27808,514955,146134,258919,25949,12690,6046,21877,29605,20832,0,0,0,72778,0,0,0,0,214,8679,603723,53531,-104269,-88768,-38030,-22463,28275,122862,-230905,0,732329,624286,0.203507238,0,165057,2537,0,0,0,52888,2366592,200332,0,0,-1887483,0,899923,87404,987327,380,8861,8627,0,-4172,8370,22665,0,317580,362311,729,363040,0,122862,-230905,0,732329,1,624287,987327,-0.172380111,7.59512372,3.7467081,0.36769986,0.63230014,0.581527406,2,n/a,n/a,n/a
"33rd DAA,      San Benito County Fair",234802,-160444,0,1471312,-1912,1543758,50920,50313,14108,80209,17289,0,39761,29361,64505,0,0,27854,0,0,129394,0,392586,1823,27049,809831,233891,248896,57036,35939,13607,0,21469,27247,29047,0,0,66426,0,21989,8556,5235,100,13430,782868,81342,228087,26963,-282466,142304,-167125,241409,-351969,0,1487195,1376635,0.308364884,121390,311285,40519,12224,0,94539,61442,3501689,78574,0,0,-2249050,0,1972612,113837,2086449,0,48302,8929,15875,0,26205,15266,0,464738,579315,1067,580382,129434,241409,-351969,0,1487195,0,1506069,2086451,0.033294601,3.542447463,3.070459167,0.278167355,0.721833603,0.385362158,3,7402,4435,11837
"34th DAA, Modoc-Last Frontier Fair",28233,-253714,0,485932,0,260451,50920,0,5255,8696,0,0,0,0,310,0,0,0,0,0,45619,0,15427,256,7351,77659,52038,24088,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76226,32108,-57752,1433,27077,57608,83252,41877,-190860,0,492687,343704,0.549379477,0,45904,210,0,0,38863,600,1827040,107768,0,0,-1481584,0,538801,26125,564926,0,3623,214,0,0,400,0,0,216488,220725,497,221222,0,41877,-190860,0,492687,0,343704,564926,0.018452465,10.88364409,10.88364409,0.391594651,0.608405349,0.64364104,0,n/a,n/a,n/a
"48th DAA, Schools Involvement Fair",-1022994,-289027,2971485,258369,0,1917833,42009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,22964,23124,188177,9070,3066,0,289,1015,17221,55442,0,0,0,11504,0,0,0,10,0,0,285794,16148,15929,-262670,-294747,-220661,-252738,-1279015,-269596,2971485,242221,1665095,-4.47530389,1703102,13558,0,2794,0,0,0,0,18698,484442,0,-260919,,1961675,96010,2057685,0,12401,2442,0,0,0,12144,0,364769,391756,838,392594,,-1279015,-269596,2971485,242221,0,1665095,2057689,-11.35919391,0.913427205,0.50239004,0.190794023,0.809207921,0.235778739,2,n/a,n/a,n/a
"51st DAA,       The Valley Fair",-325492.43,0,3000000,0,700,2675207.57,50411,0,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26509,26509,86340,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,86433,0,0,-59924,-59924,-8123,-8123,-332914,0,3000000,0,2667086,-3.851700161,2633325,22560,7995,0,0,0,0,0,0,0,0,0,0,2663880,0,2663880,0,16833,0,0,761,0,0,0,0,17594,0,17594,-20800,-332914,0,3000000,0,0,2646286,2663880,-2.260515297,1.736671593,1.736671593,0.006604652,0.993395348,0.006648563,0,n/a,n/a,n/a
"52nd DAA, Sacramento County Fair",113864,0,0,8753,0,122617,0,0,0,247233,107662,113487,129065,70287,6670,0,0,37774,0,0,69476,0,3550,0,5549,790753,257893,8665,111893,283,20914,0,20,52512,1466,0,0,276725,0,0,42471,7941,0,0,780783,1945,0,9970,8025,9970,8025,128695,0,0,1945,130640,0.164828128,494133,365358,44329,0,0,0,0,76731,9726,0,0,-84512,0,905765,0,905765,0,103693,8314,0,494133,0,0,0,0,606140,0,606140,168985,128695,0,0,1945,0,299625,905765,0.012608235,0.675895008,0.675895008,0.669202277,0.330797723,2.022995411,0,40958,48742,89700
"53rd DAA, Desert Empire Fair",66942,-99590,0,1038115,10689.87,1016156.87,50920,0,52425.69,48905.41,7850,21626,15824.4,0,425,0,0,0,0,0,290517.16,25406,60.45,655,16545.8,427815.22,148886.54,174678.82,22841,0,0,5933,1298,250,0,0,0,32399.05,9900,0,0,0,0,-119.18,396067.23,71587,-99590,31747.99,59750.99,135093.68,163096.68,186181.12,0,0,993072.43,1179253.55,0.470074538,0,175791.62,0,0,0,5410,71375,2216354,123859.26,686437,0,-2060385,0,1218841.88,0,1218841.88,-6917,0,-4652.62,2923.9,-65,-337,-1526.06,49977.96,0,39404.18,0,39404.18,184.15,186181.12,0,0,993072.43,0,1179437.7,1218841.88,0.074209585,-19.42938331,-16.62523903,0.032329198,0.967670802,0.033409293,0,6310,2076,8386
"54th DAA, Colorado River Country Fair",36964,-335262,0,358071,0,59773,50920,2333,3225,60630,7940,36898,25901,1025,0,0,0,0,0,0,82425,0,66042,-1950,20444,299355,127940,117312,3463,7924,10640,7519,3840,7876,0,0,0,19969,0,0,0,-340,119,0,306262,19000,-83075,-6907,57168,49571,113646,62539,-228192,0,339070,173417,0.204200978,0,40149,39321,0,0,0,71241,2185402,71643,0,0,-1989215,0,418541,72949,491490,0,0,4123,0,0,0,12808,0,300451,317382,690,318072,,62539,-228192,0,339070,1,173418,491490,-0.02307294,19.2747999,4.693757014,0.64715864,0.35284136,1.834134865,1,7468,8559,16027
Chowchilla- Madera County Fair,101524,0,0,2340568,0,2442092,50920,0,3225,77786,10285,0,81751,29415,0,0,0,7604,0,0,67460,64745,114594,0,1243,454883,237524,126983,17549,17820,22595,34634,13193,9586,0,0,0,93669,0,0,33348,4922,24,0,611847,141053,0,-156964,-298017,-102819,-243872,-25295,0,0,2223515,2198220,-0.041342035,0,166318,6030,0,0,0,33347,4434724,74867,633251,0,-2792607,0,2555930,0,2555930,0,6312,163,8042,0,3100,24861,160067,0,202545,0,202545,155165,-25295,0,0,2223515,,2353385,2555930,-0.345064555,9.783050463,4.057347333,0.079245128,0.920754872,0.086065391,2,13757,2384,16141
Mendocino County Fair,621046,-133390,0,678004,-8271,1157389,50920,0,3225,96993,15790,35000,42278,11640,0,0,0,0,0,0,51076,80026,112556,0,1277,446636,130177,155230,16919,13342,26079,37372,39958,32400,360,0,0,43281,0,0,0,0,0,0,495118,49030,26296,-48482,-123808,5663,-69663,591020,-159686,0,656393,1087727,1.19369524,0,656661,6239,0,0,24246,0,0,121459,2614962,0,-2104274,0,1319293,0,1319293,945,6215,944,62145,0,0,1631,0,159686,231566,0,231566,0,591020,-159686,0,656393,0,1087727,1319293,-0.108549244,9.436433259,9.222314969,0.175522799,0.824477201,0.212889815,1,11515,822,12337
