Fair Name,Unrestricted - Available for Operations,Unrestricted Net Position - Pension,Restricted Resources,Investment in Capital Assets,Prior Year Adjustment(s),Total Net Resources,State Allocation,Capital Project Reimbursement Funds,Other,Admissions to Grounds,Industrial and Commercial Space,Carnivals,Concessions,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Attractions,Motorized Racing,Interim Attractions,Miscellaneous Fair,Miscellaneous Non-Fair ,Interim Revenue,Prior Year Revenue Adjustment,Other Operating Revenue,Total Operating Revenues,Administration,Maintenance & General Operations,Publicity,Attendance Operations,Miscellaneous Fair,Miscellaneous Non-Fair Programs,Premiums ,Exhibits,Horse Show,Horse Racing (Fairtime Pari-Mutuel),Horse Racing (Satellite Wagering),Fair Entertainment Expense,Motorized Racing,Interim Entertainment Expense,Equipment Funded by Fair,Prior Year Expense Adjustment,Cash (Over/Under),Other Operating Expense,Total Operating Expenditures,Depreciation Expense,Pension Expense,OPEB Expense,"Net Operating Profit/(Loss) BEFORE Depreciation, Pension, OPEB",Net Operating Profit/(Loss) AFTER Depreciation,"Net Operating Profit/(Loss) AFTER Depreciation, Pension, OPEB","Net Profit/(Loss) BEFORE Depreciation, Pension, OPEB",Net Profit/(Loss) AFTER Depreciation,"Net Profit/(Loss) AFTER Depreciation, Pension, OPEB",Unrestricted - Available for Operations,Unrestricted - Net Position Pension/OPEB,Restricted Resources,Investment in Capital Assets,Total Net Resources,Reserve Percentage,    Restricted Cash,    Available Cash,Accounts Receivable,Deferred Charges,Other Assets,Construction in Progress,Land,Buildings and Improvements,Equipment,Leasehold Improvements,"Computer Software, Land Use Rights, etc.",Less Accumulated Depreciation,Adjustment for rounding,Total Assets,Deferred Outflows of Resources,Total Assets & Deferred Outflows of Resources,Insurance Fees Payable,Accounts Payable,Payroll Liabilities,Deferred Revenue,Other Liabilities,Guarantee Deposits,Compensated Absences Liability,Long Term Debt,Net Pension Liability,Net OPEB Liability,Total Liabilities,Deferred Inflows of Resources,Total Liabilities & Deferred Inflows of Resources,Junior Livestock Auction Reserve,Unrestricted - Available for Operations,Unrestricted - Net Position Pension/OPEB,Restricted Resources,Investment in Capital Assets ,Adjustment for rounding,Total Net Resources,"Total Liabilities, Deferred Inflows of Resources, and Net Resources",Profit margin ratio (operating profit/(loss) BEFORE depreciation)/total operating revenues),Quick Ratio [(current assets - inventories) / current liabilities],Quick Ratio* (with compensated absences liability),Debt ratio (total obligations/total assets),Equity ratio (total net resources/total assets),Debt to equity ratio (total obligations/total net resources),# of Permanent Positions,Paid Fair Admissions,Free Fair Admissions,Total Admissions 
"10-A DAA, Tulelake-Butte Valley Fair",122862.13,-230904.75,0,732329.24,-140.29,624146.33,50920,19760,53266.95,0,30075,96829,79733,8432,220,0,0,17412,0,0,46972,21479,171300,29604,963.93,503019.93,168429.68,284466.17,23436,13210,11816,17140,27975,15846,0,0,0,75254,0,0,0,-20845.94,0,8916.32,625643.23,55966.95,68449,0,-122623.3,-178590.25,-247039.25,1323.65,-54643.3,-123092.3,49725.88,-258688.08,0,710016.23,501054.03,0.07947961,0,98332.25,3624.87,0,-1500,40000,52888.28,2480325.77,200331.71,0,0,-1943449.53,0,930553.35,116083.62,1046636.97,0,16346.26,7677.86,0,-4502.88,8545,22665,120080,371306.44,0,542117.68,3465.26,545582.94,0,49725.88,-258688.08,0,710016.23,0,501054.03,1046636.97,-0.243774238,3.632731709,2.009750205,0.521272376,0.478727624,1.088870476,2,n/a,n/a,n/a
"33rd DAA,      San Benito County Fair",241409,-351969,0,1487195,0,1376635,50920,327760,0,96087,15278,0,36956,33301,64440,0,0,25637,0,0,159472,0,368028,15057,23788,838044,265872,353952,48889,37378,21737,0,24950,36756,31765,0,0,79085,0,31024,1135,4201,-612,19645,955777,100019,-31788,0,-117733,-217752,-185964,260947,160928,192716,140200,-269696,0,1698846,1569350,0.146686936,0,404823,240157,7785,0,0,61442,3877077,109395,0,0,-2349069,0,2351610,132347,2483957,0,289126,7039,21819,0,25055,6968,0,398325,0,748332,3717,752049,162560,140200,-269696,0,1698846,0,1731910,2483959,-0.140485464,1.88019438,1.842763145,0.302762487,0.697238318,0.434230994,3,9730,2535,12265
"34th DAA, Modoc-Last Frontier Fair",41877,-190860,0,492687,0,343704,50920,345560.72,3225,0,0,0,0,909,260,0,0,0,0,0,5289.77,0,20597.31,0,42326.16,69382.24,30433.39,28098.92,54,0,0,0,0,0,0,0,0,0,0,0,0,6141.31,0,3471.97,68199.59,26646.03,-190860,0,1182.65,-25463.38,165396.62,400888.37,374242.34,565102.34,97606,0,0,811200.45,908806.45,1.431181624,0,97637.69,324349.01,0,0,0,600,2211062.69,94748.46,0,0,-1495210.7,0,1233187.15,0,1233187.15,0,238.85,104.15,323737.73,0,300,0,0,0,0,324380.73,0,324380.73,,97606,0,0,811200.45,0,908806.45,1233187.18,0.017045428,1.300899409,1.300899409,0.26304258,0.736957444,0.356930488,0,n/a,n/a,n/a
"48th DAA, Schools' Agriculture & Nutrition Program",-1279015,-269596,2971485,242221,0,1665095,42009,177879,115,0,0,0,0,0,0,0,0,0,0,0,0,0,5,535,36173,36713,206231,7933,3236,0,210,151,16468,65604,0,0,0,10320,0,0,0,1838,0,0,311991,0,50883,0,-275278,-275278,-326161,-55275,-55275,-106158,-1550615,-281935,3391485,0,1558935,-4.970063239,0,1484066,429684,3056,0,0,0,0,0,0,0,0,0,1916806,115876,2032682,0,11202,3657,42009,0,0,19073,0,394133,0,470074,3678,473752,0,-1550615,-281935,3391485,0,0,1558935,2032687,-7.498106938,33.65249349,25.20048459,0.233067445,0.766935015,0.303894646,2,n/a,n/a,n/a
"51st DAA,       The Valley Fair",-332914,0,3000000,0,0,2667086,50411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52601,52601,78854,0,0,0,5620,0,0,0,0,0,0,0,0,0,0,0,0,0,84474,0,0,0,-31873,-31873,-31873,18538,18538,18538,-315457,0,3000000,0,2684543,-3.734367971,2652890,12783,16031,0,0,0,0,0,0,0,0,0,,2681704,0,2681704,0,17200,0,0,761,0,0,0,0,0,17961,0,17961,-20800,-315457,0,3000000,0,0,2663743,2681704,-0.605939051,1.604253661,1.604253661,0.006697607,0.993302393,0.006742768,0,n/a,n/a,n/a
"52nd DAA, Sacramento County Fair",128696.51,0,0,1945.18,0,130641.69,0,0,0,208287,88006,107541,140818,59372,7843,0,0,57539,0,0,156042,190,1760,-214,251,827435,273884,16971,108369,,20490,1448,,51361,1146,,,301200,,,66219,-3191,,,837897,1945,0,0,-10462,-12407,-12407,-10462,-12407,-12407,118236,0,0,0,118236,0.141110423,357382,443722,427,0,0,0,0,0,9726,76731,0,-86457,0,801531,0,801531,5355,6547,0,494133,0,0,0,0,0,0,506035,0,506035,177261,118236,0,0,0,0,295497,801532,-0.012643893,0.877704111,0.877704111,0.631335532,0.368665716,1.712487775,0,35605,42226,77831
"53rd DAA, Desert Empire Fair",186181,0,0,993072,-72295.07,1106957.93,50920,0,4199,94241.34,91525.99,27631.55,16560.58,226,592,0,0,0,3000,0,0,207543.11,5641.34,60,55843.8,502865.71,116036.64,196534.37,1447.42,,39872,9101.88,,37.29,,,51657.6,39250,17245.16,47059.41,,,,,518241.77,73387,0,0,-15376.06,-88763.06,-88763.06,39742.94,-33644.06,-33644.06,102312.14,0,0,971001.83,1073313.97,0.19742164,132331.35,13052.74,0,0,140,5410,71375,2222604.97,144712,686437,0,-2131071.96,0,1144991.1,0,1144991.1,-5065.5,0,-5972.96,-5705.25,-883.01,7114.75,0,28465.14,0,0,17953.17,0,17953.17,53723.96,102312.14,0,0,971001.83,0,1127037.93,1144991.1,-0.030576871,-1.241702554,-1.241702554,0.015679746,0.984320254,0.015929517,1,8444,2145,10589
"54th DAA, Colorado River Country Fair",62539,-228192,0,339070,2332.8,175749.8,50920,140364.2,0,66499,8500,35000,32897,1680,0,0,0,0,0,0,66708.53,0,55533,0,28844.39,295661.92,175127,115130,3762.76,10888,5702.6,-1753,1056.2,1728.01,0,0,0,29487.75,0,0,0,-194,71,-322.72,340683.6,15000,-23314.61,0,-45021.68,-60021.68,-36707.07,146262.52,131262.52,154577.13,122175.09,-204877.73,70430,342611.2,330338.56,0.358617468,0,20525.24,150460.5,0,34970.4,0,71241,2328098.67,71643.5,0,0,-2004215.57,0,672723.74,79882.96,752606.7,0,0,542.9,0,0,0,12808.15,124156.4,282127.7,0,419635.15,2632.99,422268.14,0,122175.09,-204877.73,70430,342611.2,0,330338.56,752606.7,-0.152274192,314.9488672,12.80691331,0.561074117,0.438925883,1.278288977,1,7357,6852,14209
Chowchilla- Madera County Fair,-25295,0,0,2223515,0,2198220,50920,0,6254,76967,9420,0,83095,29749,0,0,0,7360,0,0,82108,39217,115653,0,6322,449891,217531,143135,23561,20074,26330,22463,14713,8384,0,0,0,78693,0,0,0,-26551,205,0,528538,133252,0,0,-78647,-211899,-211899,-21473,-154725,-154725,-70768,0,0,2114263,2043495,-0.133893873,0,119779,440,0,0,0,33347,4434724,36617,633251,0,-2887609,0,2370549,0,2370549,0,6423,0,2450,0,0,0,136067,0,0,144940,0,144940,182114,-70768,0,0,2114263,0,2225609,2370549,-0.174813455,13.54885608,13.54885608,0.061141955,0.938858045,0.065123748,2,7572,2139,9711
Mendocino County Fair,591020,-159686,0,656393,0,1087727,50920,106308,2447,111654,17448,32875,41584,9396,10,0,0,0,0,0,56050,63620,99840,0,265.24,432742.24,147911,138251,16504,10667,33782,35489,37497,32853,442,0,0,43683,0,0,0,0,0,0,497079,52968,-12481,0,-64336.76,-117304.76,-104823.76,95338.24,42370.24,54851.24,585513,-147205,0,704316,1142624,1.177907335,0,583998.14,62303.2,0,0,0,0,0,131043,2730514,0,-2157241,0,1350617.34,0,1350617.34,894,0.03,676,54145,0,0,5073,0,147205,0,207993.03,0,207993.03,0,585513,-147205,0,704316,0,1142624,1350617.03,-0.148672244,11.6001255,10.63204943,0.153998489,0.846001281,0.182031036,1,11905,559,12464
Inter-Mountain Fair,427310,,0,167983,,595293,50920,37246.76,0,65313,10575,62580,81224.78,15238.5,0,0,0,75903,0,0,37029.5,75896.35,126571.87,1855.05,9231.62,561418.67,214914.69,243006.27,14316.39,0,39536.08,81497.4,23655.68,19766.15,0,0,0,84382.67,0,0,9114.24,1918.41,0,1391,733498.98,18038,0,0,-172080.31,-190118.31,-190118.31,-83913.55,-101951.55,-101951.55,305875.43,0,0,187466,493341.43,0.417008664,62182.38,332981.9,7417.97,0,0,4000,0,0,91965,363603,0,-272102,0,590048.25,0,590048.25,-2325,9830.63,1285.3,0,6089.91,1200,0,0,0,0,16080.84,0,16080.84,80625,305875.43,0,0,187466,0,573966.43,590047.27,-0.306509775,21.16804035,21.16804035,0.027253432,0.972744907,0.028017039,8,10899,0,10899
Trinity County Fair,172409,0,0,928161,5415,1105985,50920,164891,467024,16726,6225,15570,17824,17565,840,0,0,12320,10548,80,15305,34762,70806,2364,6736,227671,167403,176624,3159,8648,5253,14255,10925,39538,360,0,0,13090,0,2988,0,11094,268,84639,538244,53810,0,0,-310573,-364383,-364383,372262,318452,318452,196259,0,0,1228180,1424439,0.36462831,0,271286,1640,0,0,475308,0,0,115725,1978900,0,-1341753,0,1501106,0,1501106,0,21974,0,3195,300,0,3477,0,0,0,28946,0,28946,47721,196259,0,0,1228180,0,1472160,1501106,-1.364130697,10.7160077,9.428798452,0.019283115,0.980716885,0.019662265,4,2777,333,3110
